"","plot","year","tag","status","LIDE","QUAG","QUAG x QUWI","QUCH","QUKE","QUKE X QUAG","QUWI","UMCA","Unknown sp."
"157","ANN03",2010,"5539","Alive",NA,NA,NA,NA,NA,NA,NA,8.1,NA
"158","ANN03",2010,"5574","Alive",NA,NA,NA,NA,NA,NA,NA,4,NA
"159","ANN03",2010,"5592","Alive",NA,NA,NA,NA,NA,NA,NA,5.3,NA
"160","ANN03",2010,"5593","Alive",NA,NA,NA,NA,NA,NA,NA,3.7,NA
"161","ANN03",2010,"5634","Alive",NA,NA,NA,NA,NA,NA,NA,9.1,NA
"162","ANN03",2010,"5656","Alive",NA,NA,NA,NA,NA,NA,NA,3.6,NA
"163","ANN03",2010,"5657","Alive",NA,NA,NA,NA,NA,NA,NA,7.8,NA
"164","ANN03",2010,"5658","Alive",NA,NA,NA,NA,NA,NA,NA,3.5,NA
"165","ANN03",2010,"5659","Alive",NA,NA,NA,NA,NA,NA,NA,9.3,NA
"166","ANN03",2010,"5660","Alive",NA,NA,NA,NA,NA,NA,NA,2.5,NA
"167","ANN03",2010,"5661","Alive",NA,NA,NA,NA,NA,NA,NA,2.8,NA
"168","ANN03",2010,"5662","Alive",NA,NA,NA,NA,NA,NA,NA,3.8,NA
"169","ANN03",2010,"663","Alive",NA,NA,NA,NA,NA,NA,NA,8.3,NA
"170","ANN03",2012,"3177","Alive",NA,NA,NA,NA,NA,NA,NA,8.1,NA
"171","ANN03",2012,"3178b","Alive",NA,NA,NA,NA,NA,NA,NA,3.6,NA
"172","ANN03",2012,"3179b","Alive",NA,NA,NA,NA,NA,NA,NA,3.8,NA
"173","ANN03",2012,"3180","Alive",NA,NA,NA,NA,NA,NA,NA,24.4,NA
"174","ANN03",2012,"4838","Alive",NA,NA,NA,NA,NA,NA,NA,2.2,NA
"175","ANN03",2012,"524","Alive",NA,NA,NA,NA,NA,NA,NA,4.7,NA
"176","ANN03",2012,"5273","Alive",NA,NA,NA,NA,NA,NA,NA,2,NA
"177","ANN03",2012,"537","Alive",NA,NA,NA,NA,NA,NA,NA,12.9,NA
"178","ANN03",2012,"5530","Alive",NA,NA,NA,NA,NA,NA,NA,2.2,NA
"179","ANN03",2012,"5536","Alive",NA,NA,NA,NA,NA,NA,NA,6.5,NA
"180","ANN03",2012,"5537","Alive",NA,NA,NA,NA,NA,NA,NA,2.4,NA
"181","ANN03",2012,"5539","Alive",NA,NA,NA,NA,NA,NA,NA,8.5,NA
"182","ANN03",2012,"5574","Alive",NA,NA,NA,NA,NA,NA,NA,4.1,NA
"183","ANN03",2012,"5592","Alive",NA,NA,NA,NA,NA,NA,NA,6.1,NA
"184","ANN03",2012,"5593","Alive",NA,NA,NA,NA,NA,NA,NA,3.5,NA
"185","ANN03",2012,"5634","Alive",NA,NA,NA,NA,NA,NA,NA,9.2,NA
"186","ANN03",2012,"5656","Alive",NA,NA,NA,NA,NA,NA,NA,3.7,NA
"187","ANN03",2012,"5657","Alive",NA,NA,NA,NA,NA,NA,NA,6.7,NA
"188","ANN03",2012,"5658","Alive",NA,NA,NA,NA,NA,NA,NA,3.4,NA
"189","ANN03",2012,"5659","Alive",NA,NA,NA,NA,NA,NA,NA,9.7,NA
"190","ANN03",2012,"5660","Alive",NA,NA,NA,NA,NA,NA,NA,2.6,NA
"191","ANN03",2012,"5661","Alive",NA,NA,NA,NA,NA,NA,NA,2.8,NA
"192","ANN03",2012,"5662","Alive",NA,NA,NA,NA,NA,NA,NA,4.1,NA
"193","ANN03",2012,"569","Alive",NA,NA,NA,NA,NA,NA,NA,2.5,NA
"194","ANN03",2012,"573","Alive",NA,NA,NA,NA,NA,NA,NA,15.5,NA
"195","ANN03",2012,"574","Dead",NA,NA,NA,NA,NA,NA,NA,8.2,NA
"196","ANN03",2012,"601","Alive",NA,NA,NA,NA,NA,NA,NA,14.5,NA
"197","ANN03",2012,"602","Alive",NA,NA,NA,NA,NA,NA,NA,7,NA
"198","ANN03",2012,"612","Alive",NA,NA,NA,NA,NA,NA,NA,7.2,NA
"199","ANN03",2012,"614","Alive",NA,NA,NA,NA,NA,NA,NA,22.8,NA
"200","ANN03",2012,"615","Alive",NA,NA,NA,NA,NA,NA,NA,5.2,NA
"201","ANN03",2012,"617","Alive",NA,NA,NA,NA,NA,NA,NA,2.1,NA
"202","ANN03",2012,"621","Alive",NA,NA,NA,NA,NA,NA,NA,10.5,NA
"203","ANN03",2012,"622","Alive",NA,NA,NA,NA,NA,NA,NA,3,NA
"204","ANN03",2012,"626","Alive",NA,NA,NA,NA,NA,NA,NA,3.7,NA
"205","ANN03",2012,"635","Alive",NA,NA,NA,NA,NA,NA,NA,2.4,NA
"206","ANN03",2012,"638","Alive",NA,NA,NA,NA,NA,NA,NA,2.5,NA
"207","ANN03",2012,"642","Alive",NA,NA,NA,NA,NA,NA,NA,5.5,NA
"208","ANN03",2012,"651","Alive",NA,NA,NA,NA,NA,NA,NA,57.2,NA
"209","ANN03",2012,"663","Alive",NA,NA,NA,NA,NA,NA,NA,9,NA
"210","ANN03",2012,"669","Alive",NA,NA,NA,NA,NA,NA,NA,16,NA
"211","ANN03",2012,"6715","Alive",NA,NA,NA,NA,NA,NA,NA,2,NA
"212","ANN03",2012,"674","Alive",NA,NA,NA,NA,NA,NA,NA,7.5,NA
"213","ANN03",2012,"679","Alive",NA,NA,NA,NA,NA,NA,NA,11.4,NA
"214","ANN03",2012,"680","Alive",NA,NA,NA,NA,NA,NA,NA,13.6,NA
"215","ANN03",2012,"693","Alive",NA,NA,NA,NA,NA,NA,NA,42.9,NA
"216","ANN03",2014,"3177","Alive",NA,NA,NA,NA,NA,NA,NA,8.6,NA
"217","ANN03",2014,"3178b","Alive",NA,NA,NA,NA,NA,NA,NA,3,NA
