"plotid","d2c","psiSpr","psiSum","psiWin","lon_utm","lat_utm","candens15m","twi15m","elev_m","veght_m"
"arbit01",21620.933855,4596.393555,7144.410156,1743.903076,540123,4241466,0.5798354,6.67953812978522,507.58048718605,8.04134028
"arbit02",21763.376903,6433.990723,7046.270508,3993.328857,541154,4242255,0.5594293,4.88997131084156,237.866598766708,6.951165168
"arbit03",22355.881811,6080.900879,7274.210449,3451.416992,540601,4242621,0.7632505,4.98451929221587,300.327274245644,11.310658608
"arbit04",21789.785412,5384.718262,7524.905273,2471.61792,540417,4241851,0.7526156,6.81607109304831,356.794856379317,14.853614184
"arbit05",22511.21658,3008.457764,6953.219727,155.767532,539634,4242210,0.5737967,6.5469197219432,640.552679287721,15.805925208
"athea02",22887.768388,4625.816895,7600.906738,1542.150635,540726,4243304,0.8718973,5.65905924410086,205.683326351738,19.281812592
"backm02",36334.840272,5414.070801,7843.161133,2352.128174,539622,4257516,0.8086845,4.45250587897432,745.722492107392,17.019135888
"backm03",35952.903737,4744.893555,7039.313965,1955.361816,540381,4257375,0.9205896,5.4200245952806,710.72904521942,13.829742216
"backm04",35477.560874,6020.40918,7552.636719,3231.87915,540842,4257027,0.7731562,6.83482441286372,615.972415104674,12.212875752
"backm05",35898.237443,6205.46582,7309.932129,3589.621826,540224,4257264,0.8375033,7.37181518176455,642.322934314727,13.938287592
"badge01",37067.940874,4658.996582,7591.645996,1588.605469,535402,4256520,0.4334731,9.46883909734688,198.684916026878,5.485269192
"belta01",30161.820949,5427.862305,7292.494141,2641.088867,543935,4252405,0.7380099,11.8915253310944,428.211163632202,14.769370512
"belta02",29767.051292,4758.58252,7539.166992,1734.451538,544031,4252022,0.6531843,6.99898558497204,423.710671912766,13.284805536
"belta03",29511.219749,3429.440918,7031.389648,552.31134,544333,4251838,0.6742157,5.73748516137404,425.555402045059,12.942323112
"belta04",29036.538788,6017.400879,7190.978027,3418.696045,544631,4251425,0.8840798,5.81206628884069,388.021983449935,22.623697704
"belta07",29590.364157,5678.845703,7569.830566,2801.434082,542726,4251449,0.7532687,6.18131527724511,408.337381647492,11.511454752
"belta08",28518.323398,4430.862793,7510.712891,1368.732178,543310,4250510,0.8698588,7.67781946869555,179.948609742737,21.407103744
"berge01",27205.726679,4444.096191,7399.203125,1450.889771,537633,4246497,0.76899,11.3789476278728,261.950609083557,12.702988056
"bouv01",25104.470848,5040.85791,7658.655762,2000.859863,543187,4246863,0.741146,15.1598250952879,118.065482295799,17.303651448
"bouv02",24774.975158,4929.556152,7287.288574,2055.379639,543486,4246621,0.8535777,6.48970331187279,179.09151467514,14.076819192
"bouv03",24585.731232,4137.533203,7429.839355,1072.044067,543937,4246578,0.6412699,7.54932210502791,187.328722713661,10.2689406
"bouv09",25956.267456,4256.686035,7376.845703,1251.387329,544664,4248242,0.752032,8.97151447520283,286.355182900429,15.678457848
"bowes01",20775.52914,3882.771729,7170.173828,952.197021,540971,4241001,0.6359717,5.81066652779975,339.067473322678,11.718913824
"bowes02",20723.127236,5575.010742,7609.037598,2658.729492,540521,4240654,0.6546931,5.91569100626979,410.152156631471,13.787554848
"bowes03",20105.35897,2024.206299,6130.379883,0,541624,4240612,0.721065,7.29677914625013,289.614018650437,16.730962728
"bush01",24874.604432,4276.460938,7359.629395,1285.699951,537741,4243788,0.6811736,8.43700909623012,668.667776255036,11.313898632
"cochr01",25389.785838,5797.402832,7602.441895,2925.682861,543141,4247150,0.5194813,7.0855374032843,128.392189792156,5.61049932
"cook01",28272.31726,5166.749023,7690.646973,2131.160889,533160,4244516,0.7333909,15.8391511730173,271.496742313957,8.80169436
"cook02",27709.226562,5455.583496,7713.649902,2464.507324,533526,4244088,0.6251855,12.1699257647968,313.437925802995,12.23797908
"doman01",26907.00833,2720.661133,6667.996582,78.048851,537569,4246106,0.3845142,5.20914233302227,410.040962982559,3.292553232
"eliot01",22105.908737,4778.422363,7670.497559,1689.470337,539162,4241404,0.7737806,6.20027635731534,509.509060165785,15.474683808
"ferra01",21687.992886,4046.826172,7413.270996,973.87793,546236,4244249,0.5619776,12.0184165034528,191.505387687492,9.858551784
"fop04",26633.657346,4545.927246,7591.6875,1465.799805,535934,4244657,0.8170117,5.9128310873104,615.641849526214,17.101666584
"fop324",26479.185609,5960.588867,7679.49707,3090.69043,535599,4244208,0.4100161,6.77929649431007,536.154750021745,3.95314932
"fop333",26173.614572,5765.814453,7560.51709,2913.082031,535539,4243772,0.7803608,6.84489610954132,543.581081755828,14.549179944
"fop340",26245.743724,4608.475586,7637.736816,1507.35437,535006,4243430,0.844869,5.61930919308408,461.948522510148,19.135721952
"fride01",29542.236132,5338.479004,7358.404297,2495.954102,538233,4249518,0.7215326,6.05382027786582,149.487612289238,11.271970344
"ganay01",26702.144028,5780.44043,7526.644531,2946.965576,545430,4249219,0.6557092,8.01725843196874,505.569902206421,8.309110128
"ganay02",26377.322727,5671.645996,7734.939453,2712.127441,545669,4248943,0.7941462,5.46333717527046,503.271604119873,18.126026232
"gard01",24736.333464,5046.957031,7293.077637,2184.488525,547446,4247641,0.8702578,6.22560828355563,656.747941619111,19.700421864
"hallo01",26954.85678,5817.611816,7682.644043,2913.951416,545142,4249407,0.5174972,6.28244221259076,497.644699033355,9.258891312
"halow02",20358.074603,4508.137695,7532.365723,1452.35022,540498,4240201,0.8465792,11.9105992874049,295.352260037041,14.792023248
"hood01",38098.133845,4627.218262,7624.888184,1535.732056,537419,4258560,0.796369,8.35193350142846,353.115097557449,14.15416524
"hood02",37679.710943,2950.623779,6710.713379,269.837585,537413,4258105,0.7798361,5.46939564510632,455.782823130797,10.980941208
"hood03",36043.558918,4586.669922,7291.726562,1661.378418,539143,4257030,0.8600561,5.48508960660249,805.677875521087,11.580208488
"hood04",36350.243117,3779.246338,7000.680664,936.536621,538682,4257182,0.5868856,7.72793584021518,664.601933150483,9.572753016
"hood05",35815.831205,4404.104492,7341.044434,1439.403809,538687,4256610,0.8562718,6.33864321340995,772.111001149749,16.60175496
"hood07",34812.105621,5647.37207,6786.859375,3171.239014,539549,4255867,0.8985468,5.84555343297619,463.628257335662,19.450824192
"jlsp01",24511.274123,5371.933594,7650.633789,2393.859863,540340,4244942,0.3508385,6.28039626265005,202.534194370651,4.196215128
"jlsp02",24835.85293,5164.991699,7690.159668,2131.182617,540211,4245241,0.7192661,6.1554348269048,194.606013763046,10.53692076
"jlsp03",25068.371289,4089.187012,7187.614258,1168.449829,538940,4244790,0.8433483,8.31882408823474,333.116989731216,21.39654852
"jlsp04",24349.57321,5175.317383,7633.373535,2173.019043,539803,4244462,0.8500392,6.7948049783299,223.25498679142,23.919655488
"jlsp05",23736.776229,5493.87207,7228.602051,2750.935547,540335,4244058,0.9626054,7.32680530380827,199.464787174416,31.0153812
"jlsp06",23819.695946,5132.453613,7710.243164,2084.366211,539861,4243884,0.6827658,4.59872575820684,308.103674655534,11.372978016
"jlsp07",23269.265426,4374.072754,7306.121094,1414.644165,540018,4243338,0.7666856,8.68224676026107,310.745314430237,20.590355568
"jlsp08",23653.391513,4672.613281,7575.286133,1617.79126,539632,4243555,0.8943379,9.75782559937912,320.069348644637,24.166823904
"jlsp10",24123.665473,4717.588867,7164.57959,1865.052856,539312,4243911,0.9364436,5.77851469552872,359.28018897972,28.957030224
"jlsp13",25368.351975,4324.335938,7019.660156,1496.901855,538232,4244705,0.9448417,6.28085460854996,398.595007706452,33.97029528
"jlsp14",25214.639137,2092.760742,6320.035156,0,538172,4244484,0.630134,6.37081383466616,467.091046697617,12.197803392
"jlsp15",25843.521368,2226.031006,6241.399414,0,537631,4244882,0.6955235,6.40452231525596,574.659227513124,13.056562152
"jlsp16",26260.84052,4873.030762,7733.461914,1767.646362,537905,4245554,0.7351957,6.49492153780013,587.378103202056,10.884883488
"jlsp17",26527.322332,3785.05127,7172.26123,851.533752,537229,4245436,0.7719668,6.46266908511831,558.862134337234,14.79732372
"johns01",36446.167563,5238.486328,7651.312012,2235.104004,537319,4256725,0.9352317,12.8726755777645,401.678037399673,45.80994648
"johns02",36178.174175,5865.43457,6894.892578,3388.650879,538022,4256732,0.9575458,5.62988585753403,577.950424441911,35.0768412
"jroth01",27187.195892,4262.198242,7065.777832,1411.217285,535957,4245360,0.6375135,5.87562129132252,577.605762049486,14.315410536
"jroth02",27085.182139,4077.269775,7454.058105,1004.750488,536265,4245454,0.829596,7.35733132575831,554.010468413543,16.412312616
"jroth03",26634.581204,5131.458008,7586.006836,2144.148193,536353,4244964,0.4760626,4.59099221801374,696.784572827912,10.22849364
"jroth04",26289.571927,4753.60498,7708.594727,1641.394775,536242,4244457,0.7830497,8.63452985060918,657.09280138321,14.442131136
"jroth05",26127.564538,5249.130371,7499.320801,2322.446533,535897,4243994,0.7160341,9.01542510274747,588.377740877151,14.7780756
"klass01",21586.994185,5102.414551,7636.50293,2081.129395,539286,4240856,0.5674821,6.22596733277611,457.041576239776,8.987220024
"klass02",21466.704863,5709.830078,7493.914551,2880.469971,539093,4240567,0.6220472,7.52000793972532,409.764428263093,12.259994784
"kunde01",31161.145806,5974.54541,7453.736328,3224.82373,540727,4252409,0.669018,6.26235432562235,263.439985470199,9.40393344
"kunde02",30943.499892,5551.270508,7409.710938,2727.418213,540932,4252254,0.7576141,7.85563021252087,281.023087290001,12.244901088
"kunde03",31740.845228,5723.817871,7637.842285,2825.074707,541487,4253302,0.6531056,6.19622593688041,450.143010111236,6.520943016
"kunde04",31924.375397,2200.50415,5603.015625,145.426331,541228,4253406,0.5583318,5.66399208618856,371.748652482605,8.697778896
"lars01",24740.388407,5746.85498,7501.785156,2926.289062,547219,4247603,0.7401469,5.48765357988901,651.610762454225,12.084143472
"lazy04",30137.72955,5752.557129,7614.809082,2870.075928,542046,4251799,0.7957668,6.77705345025935,367.568700936126,12.981374088
"lazy05",30582.582861,4095.850098,7417.413086,1046.340698,542168,4252310,0.4795285,6.09780512120622,383.990969324113,6.210028728
"lins01",26603.9063,5298.455566,7659.079102,2302.069824,535059,4243938,0.6014876,6.35185584133985,494.280253377915,9.31185336
"lupin01",21897.262837,5940.833496,7643.421387,3084.521484,539688,4241511,0.4159847,5.24830525532605,543.77765522232,6.353958336
"macki01",32101.765926,5599.110352,7548.883789,2716.060547,530845,4251593,0.41987,8.23726243970705,122.223037752915,5.546561424
"mccor01",38708.115697,3824.862061,7234.714355,858.65802,539110,4259852,0.5596579,7.90360692577805,396.762195742034,10.868073768
"mccor02",38400.913851,2448.130615,6413.20459,24.612093,539508,4259664,0.6109885,5.62683988845744,533.270459651184,8.911708872
"mccor05",38561.329982,5286.911621,7156.583008,2531.001221,539671,4259888,0.755968,7.70615447717384,520.105470204164,12.385782696
"mcneil01",22546.803892,5670.957031,7667.291016,2745.161621,547129,4245347,0.8358752,14.4212816934184,418.934194858933,21.561929952
"mcneil03",22090.062279,5190.234863,7728.383301,2140.076904,547303,4244917,0.4221593,5.18346298142161,418.879341230393,6.04168464
"mesch01",29542.792122,4473.649414,7583.544434,1375.293945,535523,4247923,0.729332,5.58288229930956,301.06433049202,13.490594304
"mitsu01",24689.547942,4679.289062,7665.339355,1581.891968,536696,4242794,0.9176384,9.64476339972231,657.446894595337,21.419131152
"mitsu02",24501.308554,5869.67627,7428.687012,3115.041504,536321,4242254,0.6563242,7.13608529376243,681.927370973969,15.254916912
"mitsu03",24159.886709,5403.606445,7812.994629,2355.939697,537622,4242828,0.4531257,12.1714735193221,629.868546551515,6.26412768
"mitsu04",24460.976838,3358.077881,7036.865234,480.768707,537949,4243429,0.7872064,8.28846132680563,647.428977880097,21.057964488
"morel01",26506.297324,3752.64502,7282.811523,724.747253,533766,4242682,0.8847962,5.39542473403744,299.599278638077,20.389541136
"morel02",26082.299421,5182.774414,7715.382812,2140.370117,533838,4242167,0.671404,4.97115209097088,319.383275841523,11.196696936
"mroth01",25800.258863,4095.891846,7489.271484,996.120483,535337,4243126,0.8413484,4.71411694000194,516.085157314681,16.106192832
"mroth02",25890.646113,3496.69165,6956.475098,667.580383,534851,4242831,0.8527995,7.17303672711821,459.39695412712,16.676869872
"mroth03",25579.044689,5202.44873,7424.698242,2303.453857,534878,4242440,0.4493278,5.03886531999881,459.43994612503,6.639437064
"mutte01",23185.284716,3711.63916,7311.90625,662.585144,546621,4245888,0.5984619,5.64377280696954,486.611568994903,10.895002848
"mutte02",23253.955365,5162.273438,7075.579102,2427.960693,546183,4245853,0.4413101,5.5543117613953,402.363241215134,4.030623384
"nelso01",21534.111657,3785.514893,7035.564941,920.13031,544914,4243687,0.5221666,6.02034727003224,152.274341318321,5.594399784
"nelso02",21179.363084,5284.312012,7518.311035,2354.124756,545219,4243415,0.6608416,6.70703292587457,193.373585718727,6.374428704
"otell01",29969.46224,4889.95166,7646.140625,1829.212402,538589,4250177,0.5027016,6.33824040134843,176.970368275452,7.684629792
"pardi01",20239.699733,3142.970459,6869.432129,346.588593,540106,4239786,0.7830977,5.77552152643798,323.887433906935,14.374447248
"parso01",30753.826908,5336.381348,7540.29541,2404.69873,538483,4250998,0.4615928,6.2066127859099,212.262910933113,5.965661424
"peter01",29911.505152,5293.623535,7679.435547,2288.234131,538073,4249851,0.5232637,7.78600278717084,129.125222156239,10.28247372
"petsn01",29548.804644,4015.887207,7318.271484,1014.378662,543423,4251622,0.8047095,6.36128299890145,351.942677841569,21.556550232
"petsn02",29848.524257,5994.696289,7562.933105,3186.727295,543541,4251969,0.7880799,8.43047197095837,370.197900772476,13.563865176
"pfend01",23644.344046,4461.222656,7148.144531,1589.002808,535828,4240691,0.7434754,7.15319493237809,409.045957001496,14.431255872
"pfend02",23623.899152,5322.055664,7007.310547,2659.189209,536553,4241305,0.8361735,7.90355012794821,513.501927928163,16.606735392
"phill01",27186.018414,4176.245117,6912.662109,1385.667114,540664,4248079,0.6347812,6.57092658686517,120.651591739082,9.67212696
"phill02",26660.894252,5708.64209,7509.889648,2868.551758,540835,4247580,0.5328214,6.04114606835829,148.45388766861,5.216947656
"ponti02",27334.056592,5460.207031,7454.803711,2594.771484,544927,4249743,0.8365708,7.7525068391092,449.020525283431,16.600666824
"redde01",19571.258258,3958.426025,7334.012207,920.240967,542228,4240344,0.6097828,7.65363946373013,112.706669929504,9.27207696
"redde02",19488.249598,3747.972656,7076.041992,854.576843,541908,4240063,0.4347329,5.95296272088359,179.262690709305,5.029379832
"sawi01",19376.061196,4616.041504,7442.791504,1620.490356,540053,4238673,0.6971306,8.56764423262287,302.933004511642,9.251630976
"schiek01",25043.022551,5719.513672,7726.905273,2774.880859,535288,4242087,0.7253584,6.74079194955457,487.210106588745,11.56613892
"schiek02",24409.10622,5907.080078,7672.615234,3029.820312,535759,4241657,0.6610425,8.30140354896229,468.080442410661,12.75228336
"sdc01",24025.376313,4672.84668,7597.629883,1601.870728,540525,4244490,0.7912922,8.16260316704429,169.744620373535,17.09899044
"sdc02",24031.536237,3342.437744,7016.205078,441.154968,541018,4244753,0.8022874,7.69166863892249,140.561711004353,18.62224368
"sdc03",23283.771823,4825.779297,7418.221191,1867.140381,540931,4243866,0.6643315,6.27348078950551,194.343563721657,13.233367488
"sdc04",23351.15447,6015.477539,7476.719727,3255.625,541407,4244187,0.5768738,5.93895312401994,146.418323617744,6.259863528
"sdc05",22961.444877,4074.43457,7385.733887,1022.803406,542163,4244119,0.5464842,6.77323046475513,86.3250035290717,10.30027404
"sdc06",23642.039596,5618.77002,7609.601562,2709.223145,542270,4244915,0.7048817,4.61400652644426,62.7375911889552,9.42927756
"secret01",24744.902678,5556.665527,7757.485352,2563.020996,545280,4247157,0.5554051,8.41548181006038,549.06033887787,8.48567772
"secret02",24567.0862,5625.376953,7557.736328,2744.266846,545090,4246919,0.8407864,7.62051416244392,488.789567447663,12.82211304
"secret03",24846.562924,4761.768555,7545.433105,1735.243164,544869,4247146,0.7743691,8.04949550973856,445.128134963608,10.962982392
"skile01",26910.367327,3736.678955,7220.176758,773.097534,536904,4245680,0.8063018,6.12885266082612,527.11971517296,14.488716768
"spaul01",38136.111602,4690.446289,7407.356445,1720.940552,538611,4259065,0.6708592,8.95361424533795,386.745539850997,11.036311176
"spaul02",38330.953511,3959.945557,6838.834473,1189.605103,538096,4259079,0.7032712,4.25926358503297,327.031112805176,10.63288704
"spivy01",29500.007681,4960.971191,7425.136719,2020.200439,538580,4249648,0.7345595,6.68552508495978,170.560948452759,12.14297292
"state123",35166.086432,5339.890625,7686.155273,2339.412598,537143,4255244,0.5432149,10.5344096503312,193.100146159172,13.036399632
"sugar01",34276.218557,1341.203857,5790.513672,0,543158,4256456,0.8025158,5.1909661146872,731.62821694107,12.57181128
"sugar04",33924.779423,3029.284424,6978.193848,157.48526,544446,4256407,0.753078,4.94086327900036,651.792630132293,10.970785272
"sugar05",32822.504956,5677.709961,7408.447266,2882.790771,542774,4254843,0.5302668,5.13781399213079,428.766364191055,9.256355376
"sugar07",33435.70548,4326.131836,7038.960449,1490.48645,543651,4255715,0.8188457,5.76381307589569,519.228192356874,11.387684616
"sugar08",33126.673711,5478.559082,7662.561523,2515.698486,542176,4254983,0.7455287,5.77992694300652,414.312783630752,10.208870616
"sugar09",32935.75353,4171.980957,6782.42041,1443.125244,544075,4255305,0.6153932,8.12997411453254,439.676880928803,9.510345216
"sugar11",32412.069375,6380.993164,7201.532715,3854.697754,544501,4254868,0.9182954,7.50229317127214,466.917808870698,27.100465992
"sugar12",32940.559552,5286.06543,7218.660645,2500.209473,543686,4255213,0.7423259,6.33554632810968,496.472348935319,12.567644664
"sugar13",33373.793196,4641.910156,7604.193848,1563.036377,541187,4254925,0.9501946,8.35299577998097,211.093812162781,44.0102244
"sugar15",31981.550523,3369.943604,7106.63623,425.169556,543580,4254194,0.7381451,6.9658350031984,456.020900459291,16.460611224
"sugar16",32494.516812,6170.458496,7371.647949,3507.989014,543852,4254795,0.8065952,6.30894532504363,405.002609035491,14.15143728
"sugar17",32267.975863,3141.093018,6558.039551,519.030334,542408,4254156,0.8067985,4.95025437718917,441.367925965119,15.196523328
"sugar18",32931.228871,5223.256836,7649.211426,2221.315918,541889,4254689,0.818131,11.7373499772507,314.942695436096,18.823954224
"sugar19",32603.731902,4771.288086,7278.729004,1872.888062,543086,4254704,0.8730823,4.80899998901543,413.665985755919,17.794641576
"sugar21",34014.602914,5905.146484,7747.912598,2985.513428,543524,4256280,0.7968278,12.8416422770094,653.100674127961,14.552334624
"sugar23",35646.341226,4630.398926,7203.004883,1754.236206,541949,4257544,0.8163559,5.95937546472015,711.786916403962,12.462064992
"sugar24",34933.012809,4694.713867,7455.440918,1704.904907,542415,4256935,0.6477091,6.41524654984036,731.525833655549,13.895670456
"sugar30",34084.820015,3521.901611,7153.075195,589.421326,542911,4256192,0.6113712,5.5861038654113,728.832842509459,8.517108696
"sugar31",31860.841186,2550.901367,6641.646973,0,544072,4254197,0.602486,6.4747986152095,529.587404809569,11.318592552
"sugar32",35810.716567,3896.196045,7151.203125,984.310364,541524,4257590,0.469078,6.77705877814956,587.453505430984,6.651498
"sumtv01",29607.963414,4747.881836,7644.158691,1664.860718,532963,4246104,0.6995255,12.3639896332856,268.279030797958,7.393042872
"sumtv02",29251.15444,4411.677246,7565.55957,1313.503662,533313,4245930,0.601079,5.19893053576475,321.967931594466,14.259973512
"svrp01",24600.505245,4993.714355,7122.875977,2203.39917,542374,4246003,0.6703903,4.77315465122379,127.06160661993,12.63328944
"svrp02",24302.089361,5158.462402,7028.314453,2443.092773,541746,4245403,0.4944434,5.4849320353121,132.682499864101,7.683532512
"tell02",23730.931523,3487.984863,6674.356934,788.266785,544468,4245854,0.6642362,6.13479447735228,190.898192627907,6.126918912
"tell03",23118.28516,6076.401855,7500.431152,3319.402588,544877,4245342,0.7168425,6.9731775611158,275.774372273254,8.72674404
"tell04",23594.175188,4550.467285,7553.177734,1482.295898,543696,4245441,0.1563809,7.2527289945962,103.466169678783,2.7564874512
"terri02",37356.131215,5586.118164,7549.208984,2698.381348,535661,4256967,0.9120697,6.43372796649565,223.725247840118,32.97100848
"terri03",37062.488873,5789.474121,7095.051758,3181.220947,535528,4256576,0.6292614,6.66404463240092,229.137281449127,12.353568384
"votru01",31080.339963,4706.464844,7261.779297,1811.518066,532176,4248258,0.5525217,5.55725454374171,179.443404170036,6.38223768
"watki01",27877.381882,5775.939941,7425.583008,2989.426758,539517,4248302,0.4973567,7.39326309770411,138.465282281971,5.996178
"yahng01",29933.496257,5176.777344,7632.508789,2173.528564,529903,4249354,0.6565592,11.246557503525,306.913502607536,13.416238344
"yahng02",29979.200903,3911.446777,7368.609863,850.358276,529601,4249787,0.6679297,7.22548387360566,306.787379710007,11.470151304
"yahng03",29617.052533,5114.551758,7669.419922,2084.268066,529582,4249246,0.8391491,7.53959246748598,379.049934872819,21.458349768
"zen01",28155.265974,4713.956055,7580.735352,1660.798096,536945,4247188,0.4877849,8.05378332901701,262.856186874962,6.42431532
"zen02",27978.937993,5236.612793,7726.619141,2197.666504,536877,4246937,0.6427521,5.0814469797467,311.768394279099,11.468862
