"","plotid","hrs04_14_20","hrs04_abv25","hrs04_blw10","hrs05_14_20","hrs05_abv25","hrs05_blw10","hrs06_14_20","hrs06_abv25","hrs06_blw10","hrs07_14_20","hrs07_abv25","hrs07_blw10","hrs08_14_20","hrs08_abv25","hrs08_blw10","hrs09_14_20","hrs09_abv25","hrs09_blw10","hrs10_14_20","hrs10_abv25","hrs10_blw10","hrs11_14_20","hrs11_abv25","hrs11_blw10","hrs12_14_20","hrs12_abv25","hrs12_blw10","hrs14_14_20","hrs14_abv25","hrs14_blw10"
"76","HALLO01",702,76,3061,661,21,2736,719,39,3037,798,34,2774,617,61,2935,885,81,2603,549,NA,3281,732,16,3158,725,62,2778,1137,12,1508
"77","HALOW02",708,79,2623,727,17,2540,674,45,2590,879,41,2422,805,22,2648,832,89,2522,640,2,3028,715,13,2738,807,63,2638,969,16,1476
"78","HOOD01",527,77,3196,519,18,3119,500,49,3272,572,53,2986,448,44,3302,638,74,3056,369,2,3650,511,13,3378,514,71,3202,699,18,2277
"79","HOOD02",512,52,3363,536,11,3245,509,41,3316,622,29,3112,462,26,3337,638,75,3033,443,NA,3644,567,13,3419,578,53,3241,746,15,2316
"80","HOOD03",816,29,3430,541,4,3146,763,29,3231,937,2,2793,633,33,2937,938,64,2730,520,NA,3467,693,5,3457,565,15,3096,1156,3,1783
"81","HOOD04",758,35,3409,506,3,3188,588,29,3210,881,9,2811,603,37,2966,832,63,2810,472,NA,3548,651,9,3388,561,35,3205,910,9,1790
"82","HOOD05",807,24,3416,609,2,2974,772,29,3200,1046,5,2706,686,37,2826,981,57,2660,558,NA,3408,768,7,3431,551,24,2978,1213,6,1786
"83","HOOD07",783,108,2664,795,18,2356,859,45,2631,1033,47,2198,813,85,2484,950,120,2391,677,10,2955,816,34,2911,919,68,2448,1355,28,1265
"84","JLSP01",705,167,2399,813,52,2431,719,90,2447,867,98,2352,782,38,2679,831,117,2447,637,23,2916,778,38,2694,847,108,2526,922,32,1631
"85","JLSP02",677,127,2611,767,37,2604,662,76,2658,817,80,2535,683,38,2841,796,105,2633,614,21,3061,695,44,2854,779,107,2720,824,34,1991
"86","JLSP03",780,56,2775,655,6,2598,714,24,2757,873,32,2376,723,11,2695,821,66,2406,573,NA,3156,708,12,2879,737,42,2519,1122,14,1259
"87","JLSP04",715,50,2762,570,17,2745,554,41,2777,763,48,2660,576,15,2991,704,64,2696,449,1,3305,588,12,3043,577,58,3005,613,16,1838
"88","JLSP05",745,26,2747,565,3,2624,597,18,2682,741,26,2675,596,5,2924,723,40,2585,478,NA,3251,656,10,2941,539,16,2988,671,13,1647
"89","JLSP06",762,92,2440,762,18,2367,907,40,2461,946,55,2078,859,25,2393,970,106,2189,708,2,2890,832,19,2682,874,74,2201,1356,21,1122
"90","JLSP07",786,29,2754,587,4,2497,776,21,2690,848,19,2335,687,8,2635,846,52,2461,308,NA,3286,738,9,2808,675,26,2356,1177,14,1245
"91","JLSP08",803,41,2738,602,7,2450,787,25,2750,863,27,2275,728,9,2642,937,61,2328,593,NA,3071,726,10,2806,693,34,2387,1290,14,1196
"92","JLSP10",762,68,2490,778,6,2316,923,29,2594,1024,32,2021,861,11,2373,1045,109,2179,736,NA,2832,835,11,2716,834,43,2084,1654,21,1036
"93","JLSP13",752,43,2733,695,5,2505,866,27,2718,990,23,2226,749,9,2470,989,74,2379,643,NA,3078,787,10,2924,761,39,2388,1456,12,1256
"94","JLSP14",773,32,2918,708,6,2558,762,30,2778,1035,18,2332,738,3,2618,930,63,2352,629,1,3050,813,8,2962,719,45,2544,1239,6,1342
"95","JLSP15",789,12,3111,657,2,2727,793,28,3004,1054,6,2523,746,7,2658,963,48,2526,601,NA,3209,801,4,3175,632,21,2740,1302,1,1539
