"","PlotID","Species","year","live_count","live_avg_dbh","live_tot_dbh","dead_count","dead_avg_dbh","dead_tot_dbh"
"32","ANN11","quga",2014,3,23.7666666666667,71.3,NA,NA,NA
"33","ANN12","psme",2003,9,39.5377777777778,355.84,NA,NA,NA
"34","ANN12","psme",2014,7,39.4428571428571,276.1,NA,NA,NA
"35","ANN13","psme",2003,3,39.7833333333333,119.35,NA,NA,NA
"36","ANN13","psme",2014,1,71.6,71.6,2,22.9,45.8
"37","ANN13","quga",2003,5,25.904,129.52,NA,NA,NA
"38","ANN13","quga",2014,5,27.5,137.5,1,14,14
"39","ANN14","psme",2003,2,36.285,72.57,NA,NA,NA
"40","ANN14","psme",2014,1,45,45,1,31,31
"41","ANN14","quercus sp.",2014,2,20.9,41.8,NA,NA,NA
"42","ANN14","quga",2003,3,29.0633333333333,87.19,NA,NA,NA
"43","ANN14","quga",2014,3,27.4333333333333,82.3,NA,NA,NA
"44","ANN15","arme",2003,14,9.70285714285714,135.84,NA,NA,NA
"45","ANN15","arme",2014,9,10.7444444444444,96.7,5,6.44,32.2
"46","ANN15","psme",2003,6,19.0383333333333,114.23,NA,NA,NA
"47","ANN15","psme",2014,8,18.7875,150.3,NA,NA,NA
"48","ANN17","psme",2004,4,40.925,163.7,NA,NA,NA
"49","ANN17","psme",2014,4,45.05,180.2,NA,NA,NA
"50","ANN17","quga",2004,5,25.02,125.1,NA,NA,NA
"51","ANN17","quga",2014,4,25.125,100.5,NA,NA,NA
"52","ANN18","psme",2004,9,34.9555555555556,314.6,NA,NA,NA
"53","ANN18","psme",2014,10,35.87,358.7,NA,NA,NA
"54","ANN19","aeca",2014,3,9.13333333333333,27.4,1,11.5,11.5
"55","ANN19","quga",2014,5,30.24,151.2,1,20.5,20.5
"56","ANN20","aeca",2004,5,9.6,48,NA,NA,NA
"57","ANN20","aeca",2014,3,8.53333333333333,25.6,1,5.7,5.7
"58","ANN20","quga",2004,7,26.7142857142857,187,NA,NA,NA
"59","ANN20","quga",2014,8,28.3875,227.1,2,10.7,21.4
"60","ANN21","psme",2004,7,28.2971428571429,198.08,NA,NA,NA
"61","ANN21","psme",2014,6,32.8,196.8,1,17.5,17.5
"62","ANN23","quga",2004,7,38.1857142857143,267.3,NA,NA,NA
"63","ANN23","quga",2014,6,40.7166666666667,244.3,1,25.8,25.8
"64","ANN24","arme",2004,1,59.1,59.1,NA,NA,NA
"65","ANN24","arme",2014,1,59.5,59.5,NA,NA,NA
"66","ANN24","psme",2004,11,33.9636363636364,373.6,NA,NA,NA
"67","ANN24","psme",2014,12,42.1416666666667,505.7,1,32.5,32.5
"68","ANN25","psme",2004,5,31.68,158.4,NA,NA,NA
"69","ANN25","psme",2014,3,38.7,116.1,9,23.8555555555556,214.7
"70","ANN25","quga",2004,2,13.2,26.4,NA,NA,NA
"71","ANN25","quga",2014,2,14.75,29.5,NA,NA,NA
"72","ANN27","psme",2004,8,37.3375,298.7,NA,NA,NA
"73","ANN27","psme",2014,4,41.4,165.6,1,9.2,9.2
"74","ANN28","quga",2003,17,18.1470588235294,308.5,NA,NA,NA
"75","ANN29","quga",2004,3,28.0333333333333,84.1,NA,NA,NA
"76","ANN29","quga",2014,3,26.4666666666667,79.4,1,20.5,20.5
"77","ANN30","arme",2003,7,18.2571428571429,127.8,NA,NA,NA
"78","ANN30","arme",2014,3,22.2333333333333,66.7,4,13.825,55.3
"79","ANN30","hear",2003,1,12.4,12.4,NA,NA,NA
"80","ANN30","hear",2014,1,12.8,12.8,NA,NA,NA
"81","ANN30","psme",2003,7,25.1285714285714,175.9,NA,NA,NA
"82","ANN30","psme",2014,2,32.55,65.1,3,34.5333333333333,103.6
"83","ANN30","quga",2003,1,16.8,16.8,NA,NA,NA
"84","ANN30","quga",2014,2,17.4,34.8,1,12.4,12.4
"85","ANN31","arme",2003,2,25,50,NA,NA,NA
"86","ANN31","arme",2014,2,25.95,51.9,NA,NA,NA
"87","ANN31","hear",2003,1,5.4,5.4,NA,NA,NA
"88","ANN31","hear",2014,1,6.8,6.8,NA,NA,NA
"89","ANN31","psme",2003,12,22.3166666666667,267.8,NA,NA,NA
"90","ANN31","psme",2014,7,29.1,203.7,2,10.8,21.6
"91","ANN32","arme",2004,4,21.5,86,NA,NA,NA
"92","ANN32","arme",2014,2,24.2,48.4,3,15.1,45.3
"93","ANN32","hear",2004,1,7.1,7.1,NA,NA,NA
"94","ANN32","psme",2004,11,34.4727272727273,379.2,NA,NA,NA
"95","ANN32","psme",2014,9,47.4333333333333,426.9,NA,NA,NA
"96","ANN33","arme",2005,14,16.2785714285714,227.9,NA,NA,NA
"97","ANN33","arme",2014,7,20.3857142857143,142.7,5,8.94,44.7
"98","ANN33","psme",2005,3,26.2666666666667,78.8,NA,NA,NA
"99","ANN33","psme",2014,2,17.65,35.3,NA,NA,NA
"100","ANN34","psme",2004,11,33.4545454545455,368,NA,NA,NA
"101","ANN34","psme",2014,10,37.06,370.6,3,14.2666666666667,42.8
"102","ANN35","arme",2003,4,40.1825,160.73,NA,NA,NA
"103","ANN35","arme",2014,4,39.4,157.6,NA,NA,NA
"104","ANN35","psme",2003,12,11.5066666666667,138.08,NA,NA,NA
"105","ANN35","psme",2014,9,12.6888888888889,114.2,NA,NA,NA
"106","ANN35","quga",2014,1,27.6,27.6,1,19.7,19.7
"107","ANN36","aeca",2004,1,8.4,8.4,NA,NA,NA
"108","ANN36","aeca",2014,1,8,8,NA,NA,NA
"109","ANN36","arme",2004,2,21,42,NA,NA,NA
"110","ANN36","hear",2004,6,5.9,35.4,NA,NA,NA
"111","ANN36","hear",2014,1,6.1,6.1,NA,NA,NA
"112","ANN37","psme",2004,1,13.1,13.1,NA,NA,NA
"113","ANN37","quga",2004,3,24.9333333333333,74.8,NA,NA,NA
"114","ANN37","quga",2014,3,27.0333333333333,81.1,1,6.4,6.4
"115","ANN38","arme",2004,1,10.2,10.2,NA,NA,NA
"116","ANN38","hear",2004,3,7.46666666666667,22.4,NA,NA,NA
"117","ANN38","hear",2014,4,8.325,33.3,NA,NA,NA
"118","ANN38","psme",2004,7,35.2428571428571,246.7,NA,NA,NA
"119","ANN38","psme",2014,6,35.0333333333333,210.2,1,20.3,20.3
"120","APGAR01","arcto sp.",2004,18,7.49444444444444,134.9,NA,NA,NA
"121","APGAR01","arcto sp.",2014,17,8.82352941176471,150,9,6.52222222222222,58.7
"122","APGAR01","arme",2004,3,10.6,31.8,NA,NA,NA
"123","APGAR01","arme",2014,6,11.9333333333333,71.6,NA,NA,NA
"124","APGAR01","psme",2004,2,6.85,13.7,NA,NA,NA
"125","APGAR01","psme",2014,9,8.98888888888889,80.9,NA,NA,NA
"126","ARBIT01","aeca",2004,2,9.25,18.5,NA,NA,NA
"127","ARBIT01","aeca",2014,1,9.9,9.9,1,9.3,9.3
"128","ARBIT01","quga",2004,9,28.9333333333333,260.4,NA,NA,NA
"129","ARBIT01","quga",2014,10,28.99,289.9,NA,NA,NA
"130","ARBIT02","aeca",2004,1,11.4,11.4,NA,NA,NA
"131","ARBIT02","aeca",2014,1,12,12,NA,NA,NA
"132","ARBIT02","arme",2004,2,50.9,101.8,NA,NA,NA
"133","ARBIT02","quga",2004,1,38.2,38.2,NA,NA,NA
"134","ARBIT03","aeca",2004,1,8.3,8.3,NA,NA,NA
"135","ARBIT03","arme",2004,1,13.7,13.7,NA,NA,NA
"136","ARBIT03","psme",2004,4,20.45,81.8,NA,NA,NA
"137","ARBIT03","psme",2014,4,28.425,113.7,NA,NA,NA
"138","ARBIT03","quga",2004,3,23.8,71.4,NA,NA,NA
"139","ARBIT03","quga",2014,5,25.74,128.7,NA,NA,NA
"140","ARBIT04","quga",2004,1,56,56,NA,NA,NA
"141","ARBIT05","aeca",2004,2,13.4,26.8,NA,NA,NA
"142","ARBIT05","aeca",2014,2,14.1,28.2,NA,NA,NA
"143","ARBIT05","quga",2004,1,24.5,24.5,NA,NA,NA
"144","ARBIT05","unknown sp. 1",2014,1,22,22,NA,NA,NA
"145","ATHEA02","arme",2014,1,11,11,NA,NA,NA
"146","ATHEA02","psme",2014,3,32.0333333333333,96.1,NA,NA,NA
"147","BACKM02","arme",2005,9,22.0888888888889,198.8,NA,NA,NA
"148","BACKM02","arme",2014,8,21.575,172.6,1,18.8,18.8
"149","BACKM03","acma",2014,1,6.4,6.4,NA,NA,NA
"150","BACKM03","psme",2005,2,9.25,18.5,NA,NA,NA
"151","BACKM03","psme",2014,4,12.425,49.7,NA,NA,NA
"152","BACKM04","psme",2005,2,44,88,NA,NA,NA
"153","BACKM04","psme",2014,2,52.7,105.4,NA,NA,NA
"154","BACKM05","quga",2014,2,25.6,51.2,NA,NA,NA
"155","BACKM05","qulo",2005,1,22,22,NA,NA,NA
"156","BADGE01","arcto sp.",2004,2,8.55,17.1,NA,NA,NA
"157","BADGE01","arcto sp.",2014,3,7.33333333333333,22,9,6.12222222222222,55.1
"158","BADGE01","pisa",2004,1,32,32,NA,NA,NA
"159","BADGE01","pisa",2014,1,34,34,NA,NA,NA
"160","BADGE01","quga",2004,31,12.8129032258065,397.2,NA,NA,NA
"161","BADGE01","quga",2014,31,14.2967741935484,443.2,3,10.0666666666667,30.2
"162","BADGE01","todi",2004,1,6,6,NA,NA,NA
"163","BELTA02","psme",2014,1,8.7,8.7,NA,NA,NA
"164","BELTA03","psme",2014,1,5.4,5.4,NA,NA,NA
"165","BELTA03","quga",2004,12,30.2166666666667,362.6,NA,NA,NA
"166","BELTA03","quga",2014,12,27.15,325.8,NA,NA,NA
"167","BELTA04","arme",2014,5,13.2,66,1,6.4,6.4
"168","BELTA04","psme",2004,10,20.72,207.2,NA,NA,NA
"169","BELTA04","psme",2014,10,23.1,231,NA,NA,NA
"170","BELTA07","arme",2014,1,5.9,5.9,NA,NA,NA
"171","BELTA07","hear",2004,1,5.1,5.1,NA,NA,NA
"172","BELTA07","psme",2004,1,12.2,12.2,NA,NA,NA
"173","BELTA07","psme",2014,1,20.1,20.1,NA,NA,NA
"174","BELTA08","arme",2004,1,45.7,45.7,NA,NA,NA
"175","BELTA08","arme",2014,1,49.5,49.5,NA,NA,NA
"176","BELTA08","psme",2004,7,25.6,179.2,NA,NA,NA
"177","BELTA08","psme",2014,6,35.4833333333333,212.9,NA,NA,NA
"178","BELTA08","quga",2004,1,43.1,43.1,NA,NA,NA
"179","BELTA08","quga",2014,1,45.7,45.7,NA,NA,NA
"180","BERGE01","aeca",2005,1,7.3,7.3,NA,NA,NA
"181","BERGE01","hear",2005,7,6.95714285714286,48.7,NA,NA,NA
"182","BERGE01","hear",2014,4,7.05,28.2,2,5.7,11.4
"183","BERGE01","qudo",2005,1,21,21,NA,NA,NA
"184","BERGE01","quga",2005,6,19.1333333333333,114.8,NA,NA,NA
"185","BERGE01","quga",2014,6,22.8833333333333,137.3,NA,NA,NA
"186","BOUV01","qudo",2014,1,9.9,9.9,NA,NA,NA
"187","BOUV01","quga",2005,2,9.2,18.4,NA,NA,NA
"188","BOUV02","arme",2005,4,14.95,59.8,NA,NA,NA
"189","BOUV02","arme",2014,1,6.2,6.2,NA,NA,NA
"190","BOUV02","psme",2005,6,6.16666666666667,37,NA,NA,NA
"191","BOUV02","psme",2014,5,7.8,39,NA,NA,NA
"192","BOUV03","aeca",2005,6,8.43333333333333,50.6,NA,NA,NA
"193","BOUV03","aeca",2014,3,8.73333333333333,26.2,NA,NA,NA
"194","BOUV03","quga",2005,2,16.3,32.6,NA,NA,NA
"195","BOUV03","quga",2014,1,16.8,16.8,NA,NA,NA
"196","BOUV09","aeca",2005,1,6.6,6.6,NA,NA,NA
"197","BOUV09","aeca",2014,2,6.9,13.8,NA,NA,NA
"198","BOUV09","psme",2014,1,5.5,5.5,1,46.8,46.8
"199","BOWES01","arme",2005,2,21.8,43.6,NA,NA,NA
"200","BOWES01","quga",2014,1,24.5,24.5,NA,NA,NA
"201","BOWES02","quga",2005,2,64.7,129.4,NA,NA,NA
"202","BOWES02","quga",2014,2,65.6,131.2,NA,NA,NA
"203","BOWES03","aeca",2005,2,10.55,21.1,NA,NA,NA
"204","BOWES03","aeca",2014,1,10.8,10.8,1,10.4,10.4
"205","BOWES03","hear",2005,7,7.34285714285714,51.4,NA,NA,NA
"206","BUSH01","aeca",2005,9,23.2,208.8,NA,NA,NA
"207","COOK02","quga",2004,23,18.4260869565217,423.8,NA,NA,NA
"208","COOK02","quga",2005,8,13.775,110.2,NA,NA,NA
"209","COOK02","quga",2014,29,18.8586206896552,546.9,9,12.6,113.4
"210","DOMAN01","arme",2014,2,10.7,21.4,NA,NA,NA
"211","DOMAN01","quga",2004,7,17.1857142857143,120.3,NA,NA,NA
"212","DOMAN01","quga",2014,4,19.85,79.4,NA,NA,NA
"213","ELIOT01","psme",2014,1,5.1,5.1,NA,NA,NA
"214","ELIOT01","quga",2004,1,31.5,31.5,NA,NA,NA
"215","ELIOT01","quga",2014,1,34.2,34.2,NA,NA,NA
"216","FERRA01","arme",2004,2,30.75,61.5,NA,NA,NA
"217","FERRA01","psme",2004,4,28.8,115.2,NA,NA,NA
"218","FERRA01","psme",2014,4,39.9,159.6,NA,NA,NA
"219","FOP04","quga",2003,2,34.53,69.06,NA,NA,NA
"220","FOP04","quga",2014,2,33.75,67.5,NA,NA,NA
"221","FOP324","quga",2003,2,50.925,101.85,NA,NA,NA
"222","FOP324","quga",2014,1,47.5,47.5,NA,NA,NA
"223","FOP340","psme",2003,9,19.5188888888889,175.67,NA,NA,NA
"224","FOP340","psme",2014,9,26.1666666666667,235.5,NA,NA,NA
"225","FRIDE01","arme",2014,1,6.5,6.5,NA,NA,NA
"226","FRIDE01","psme",2014,1,16.1,16.1,NA,NA,NA
"227","FRIDE01","quga",2004,3,21.5333333333333,64.6,NA,NA,NA
"228","FRIDE01","quga",2014,6,21.8833333333333,131.3,NA,NA,NA
"229","GANAY01","psme",2014,8,10.925,87.4,2,42.35,84.7
"230","GANAY02","arme",2003,11,15.3545454545455,168.9,12,9.45,113.4
"231","GANAY02","arme",2004,28,12.725,356.3,NA,NA,NA
"232","GANAY02","psme",2003,5,34.3,171.5,NA,NA,NA
"233","GANAY02","psme",2004,8,18.4875,147.9,NA,NA,NA
"234","GARD01","arme",2004,11,12.0272727272727,132.3,NA,NA,NA
"235","GARD01","arme",2014,11,11.4272727272727,125.7,NA,NA,NA
"236","GARD01","psme",2004,6,30.5,183,NA,NA,NA
"237","GARD01","psme",2014,5,37.56,187.8,2,9.25,18.5
"238","HALLO01","arme",2004,29,11,319,NA,NA,NA
"239","HALLO01","arme",2014,25,12.404,310.1,1,16.4,16.4
"240","HALLO01","pisa",2004,7,18.6714285714286,130.7,NA,NA,NA
"241","HALLO01","psme",2004,9,11.4,102.6,NA,NA,NA
"242","HALLO01","psme",2014,9,19.8888888888889,179,3,17.9333333333333,53.8
"243","HALOW01","aeca",2003,1,14,14,NA,NA,NA
"244","HALOW02","aeca",2003,1,14,14,NA,NA,NA
"245","HOOD01","psme",2004,1,11.6,11.6,NA,NA,NA
"246","HOOD01","psme",2014,1,11.6,11.6,1,31.3,31.3
"247","HOOD02","arme",2004,5,11.78,58.9,NA,NA,NA
"248","HOOD02","arme",2014,4,13.7,54.8,NA,NA,NA
"249","HOOD02","psme",2004,1,42.1,42.1,NA,NA,NA
"250","HOOD02","psme",2014,1,42,42,NA,NA,NA
"251","HOOD04","acma",2005,10,20.51,205.1,NA,NA,NA
"252","HOOD04","acma",2014,8,25.125,201,1,14.6,14.6
"253","HOOD07","psme",2014,9,37.4555555555556,337.1,1,9,9
"254","JLSP01","hear",2004,1,9,9,NA,NA,NA
"255","JLSP01","quga",2014,1,29.2,29.2,NA,NA,NA
"256","JLSP02","aeca",2004,5,10.1,50.5,NA,NA,NA
"257","JLSP02","arme",2004,9,11.8444444444444,106.6,NA,NA,NA
"258","JLSP02","arme",2014,7,9.98571428571429,69.9,2,6.3,12.6
"259","JLSP02","quga",2004,4,35.625,142.5,NA,NA,NA
"260","JLSP02","quga",2014,1,29.2,29.2,NA,NA,NA
"261","JLSP03","arme",2004,9,42.8333333333333,385.5,NA,NA,NA
"262","JLSP03","arme",2014,7,43.2428571428571,302.7,1,13.3,13.3
"263","JLSP03","psme",2004,2,76.8,153.6,NA,NA,NA
"264","JLSP03","psme",2014,1,144.4,144.4,NA,NA,NA
"265","JLSP04","acma",2004,1,9.9,9.9,NA,NA,NA
"266","JLSP04","acma",2014,2,9.45,18.9,NA,NA,NA
"267","JLSP04","sese",2004,6,77.9333333333333,467.6,NA,NA,NA
"268","JLSP04","sese",2014,7,72.0428571428571,504.3,NA,NA,NA
"269","JLSP05","acma",2004,2,44.35,88.7,NA,NA,NA
"270","JLSP06","aeca",2004,1,18.2,18.2,NA,NA,NA
"271","JLSP06","arme",2004,1,7.7,7.7,NA,NA,NA
"272","JLSP07","acma",2004,2,49.9,99.8,NA,NA,NA
"273","JLSP07","arme",2004,1,52.4,52.4,NA,NA,NA
"274","JLSP08","acma",2004,2,52.6,105.2,NA,NA,NA
"275","JLSP08","acma",2014,1,67,67,NA,NA,NA
"276","JLSP08","aeca",2004,1,25.2,25.2,NA,NA,NA
"277","JLSP08","aeca",2014,1,25,25,NA,NA,NA
"278","JLSP08","quga",2004,1,24.4,24.4,NA,NA,NA
"279","JLSP08","sese",2004,5,34.38,171.9,NA,NA,NA
"280","JLSP10","psme",2004,5,22.26,111.3,NA,NA,NA
"281","JLSP10","psme",2014,2,33.45,66.9,2,11.25,22.5
"282","JLSP10","quga",2004,3,27.7666666666667,83.3,NA,NA,NA
"283","JLSP10","quga",2014,1,33.8,33.8,3,18.2666666666667,54.8
"284","JLSP13","aeca",2004,2,15.65,31.3,NA,NA,NA
"285","JLSP13","aeca",2014,3,14.7,44.1,NA,NA,NA
"286","JLSP13","psme",2004,2,47.75,95.5,NA,NA,NA
"287","JLSP13","psme",2014,1,61.7,61.7,1,11.1,11.1
"288","JLSP14","quga",2004,4,31.625,126.5,NA,NA,NA
"289","JLSP14","quga",2014,6,32.0333333333333,192.2,1,10.4,10.4
"290","JLSP15","quga",2014,4,53.525,214.1,NA,NA,NA
"291","JLSP15","qulo",2003,3,64.5066666666667,193.52,NA,NA,NA
"292","JLSP16","arme",2004,14,10.0785714285714,141.1,NA,NA,NA
"293","JLSP16","arme",2014,15,11.7333333333333,176,1,6.1,6.1
"294","JLSP17","aeca",2004,4,16.375,65.5,NA,NA,NA
"295","JLSP17","aeca",2014,3,18.2333333333333,54.7,NA,NA,NA
"296","JLSP17","quga",2004,4,27.325,109.3,NA,NA,NA
"297","JLSP17","quga",2014,2,29.05,58.1,NA,NA,NA
"298","JOHNS01","psme",2004,3,88.9,266.7,NA,NA,NA
"299","JOHNS01","psme",2014,3,94.9,284.7,1,58.1,58.1
"300","JOHNS02","acma",2004,2,31.35,62.7,NA,NA,NA
"301","JOHNS02","acma",2014,2,37.25,74.5,NA,NA,NA
"302","JOHNS02","psme",2004,2,38.3,76.6,NA,NA,NA
"303","JROTH01","aeca",2004,1,11,11,NA,NA,NA
"304","JROTH02","quga",2004,4,25.3825,101.53,NA,NA,NA
"305","JROTH02","quga",2014,3,40.4333333333333,121.3,NA,NA,NA
"306","JROTH04","quga",2014,12,35.8083333333333,429.7,NA,NA,NA
"307","KLASS01","aeca",2004,3,13.0666666666667,39.2,NA,NA,NA
"308","KLASS01","aeca",2014,4,18,72,NA,NA,NA
"309","KLASS01","quga",2004,1,24.1,24.1,NA,NA,NA
"310","KUNDE03","psme",2004,1,6.1,6.1,NA,NA,NA
"311","KUNDE03","psme",2014,3,12.1666666666667,36.5,NA,NA,NA
"312","KUNDE04","hear",2004,1,5.6,5.6,NA,NA,NA
"313","KUNDE04","quga",2004,6,20.6833333333333,124.1,NA,NA,NA
"314","KUNDE04","quga",2014,4,34.3,137.2,NA,NA,NA
"315","LARS01","arcto sp.",2004,2,6.6,13.2,NA,NA,NA
"316","LARS01","arcto sp.",2014,2,10.15,20.3,3,6.2,18.6
"317","LARS01","arme",2004,16,16.24375,259.9,NA,NA,NA
"318","LARS01","arme",2014,12,17.175,206.1,5,11.84,59.2
"319","LARS01","hear",2014,1,5.2,5.2,NA,NA,NA
"320","LARS01","psme",2004,1,11.4,11.4,NA,NA,NA
"321","LARS01","psme",2014,1,17.3,17.3,NA,NA,NA
"322","LARS01","quga",2014,1,17.3,17.3,NA,NA,NA
"323","LAZY04","arme",2004,2,23.45,46.9,NA,NA,NA
"324","LAZY04","arme",2014,2,28.1,56.2,NA,NA,NA
"325","LAZY05","quga",2004,1,58.6,58.6,NA,NA,NA
"326","LINS01","quga",2003,3,27.7,83.1,NA,NA,NA
"327","LINS01","quga",2004,2,23.55,47.1,NA,NA,NA
"328","LINS01","rhca",2003,2,6.2,12.4,NA,NA,NA
"329","MACKI01","qudo",2004,14,20.8785714285714,292.3,NA,NA,NA
"330","MACKI01","qudo",2014,14,20.6071428571429,288.5,NA,NA,NA
"331","MCCOR01","arme",2004,1,50,50,NA,NA,NA
"332","MCCOR01","psme",2014,1,14.6,14.6,NA,NA,NA
"333","MCCOR01","quga",2004,1,102.2,102.2,NA,NA,NA
"334","MCCOR01","quga",2014,1,104.4,104.4,NA,NA,NA
"335","MCCOR02","quga",2004,5,33.6,168,NA,NA,NA
"336","MCCOR02","quga",2014,7,34.3857142857143,240.7,NA,NA,NA
"337","MCCOR05","quga",2014,1,31.9,31.9,NA,NA,NA
"338","MCNEIL01","arme",2005,12,14.3916666666667,172.7,NA,NA,NA
"339","MCNEIL01","psme",2005,2,14.95,29.9,NA,NA,NA
"340","MCNEIL01","sese",2005,13,33.0615384615385,429.8,NA,NA,NA
"341","MESCH01","quercus sp.",2003,7,17.6428571428571,123.5,NA,NA,NA
"342","MESCH01","quga",2014,5,19.26,96.3,NA,NA,NA
"343","MITSU01","quga",2004,2,72,144,NA,NA,NA
"344","MITSU01","quga",2014,2,72.85,145.7,NA,NA,NA
"345","MITSU02","quga",2003,4,33.925,135.7,NA,NA,NA
"346","MITSU02","quga",2004,4,31.775,127.1,NA,NA,NA
"347","MITSU04","aeca",2004,2,22.75,45.5,NA,NA,NA
"348","MOREL01","aeca",2004,2,29.15,58.3,NA,NA,NA
"349","MOREL01","aeca",2014,3,24.8666666666667,74.6,NA,NA,NA
"350","MOREL01","quga",2004,4,34.075,136.3,NA,NA,NA
"351","MOREL01","quga",2014,2,47.25,94.5,2,21.85,43.7
"352","MROTH01","quga",2004,1,36.1,36.1,NA,NA,NA
"353","MROTH01","quga",2014,1,36.9,36.9,NA,NA,NA
"354","MROTH02","quga",2004,5,36.68,183.4,NA,NA,NA
"355","MROTH02","quga",2014,5,38.66,193.3,NA,NA,NA
"356","MROTH03","quga",2004,6,36.6333333333333,219.8,NA,NA,NA
"357","MROTH03","quga",2014,3,44.7333333333333,134.2,1,23,23
"358","MUTTE01","arcto sp.",2014,1,6.8,6.8,1,6,6
"359","MUTTE01","pisa",2004,12,17.725,212.7,NA,NA,NA
"360","MUTTE01","pisa",2014,11,21.2272727272727,233.5,NA,NA,NA
"361","MUTTE02","arme",2004,6,28.55,171.3,NA,NA,NA
"362","MUTTE02","arme",2014,3,29.6666666666667,89,6,17.5333333333333,105.2
"363","MUTTE02","psme",2004,7,27.1285714285714,189.9,NA,NA,NA
"364","MUTTE02","psme",2014,7,41.2571428571429,288.8,2,53.4,106.8
"365","NELSO01","aeca",2004,1,5,5,NA,NA,NA
"366","NELSO01","aeca",2014,2,5.85,11.7,NA,NA,NA
"367","NELSO01","arme",2014,1,5.2,5.2,NA,NA,NA
"368","NELSO01","hear",2004,2,6.45,12.9,NA,NA,NA
"369","NELSO01","hear",2014,2,5.95,11.9,1,5.8,5.8
"370","NELSO02","arcto sp.",2014,1,5.7,5.7,NA,NA,NA
"371","NELSO02","hear",2014,1,7.3,7.3,NA,NA,NA
"372","OTELL01","arcto sp.",2004,1,6.8,6.8,NA,NA,NA
"373","OTELL01","arcto sp.",2014,1,7.6,7.6,NA,NA,NA
"374","OTELL01","arme",2004,2,6.45,12.9,NA,NA,NA
"375","OTELL01","arme",2014,2,7.75,15.5,NA,NA,NA
"376","OTELL01","quga",2004,9,29.4555555555556,265.1,NA,NA,NA
"377","OTELL01","quga",2014,8,30.675,245.4,NA,NA,NA
"378","OTELL01","unknown sp. 1",2014,1,6.5,6.5,NA,NA,NA
"379","PARDI01","hear",2004,4,14.175,56.7,NA,NA,NA
"380","PARDI01","hear",2014,3,15.5333333333333,46.6,1,12.9,12.9
"381","PARSO01","aeca",2004,4,5.825,23.3,NA,NA,NA
"382","PARSO01","aeca",2014,8,7.6,60.8,NA,NA,NA
"383","PARSO01","arcto sp.",2004,2,13.75,27.5,NA,NA,NA
"384","PARSO01","arcto sp.",2014,3,11.6,34.8,NA,NA,NA
"385","PARSO01","quga",2004,5,34.1,170.5,NA,NA,NA
"386","PARSO01","quga",2014,6,32.3333333333333,194,NA,NA,NA
"387","PETER01","quga",2004,11,33.0272727272727,363.3,NA,NA,NA
"388","PETER01","quga",2014,11,32.1454545454545,353.6,NA,NA,NA
"389","PETSN01","arme",2004,2,18.15,36.3,NA,NA,NA
"390","PETSN01","psme",2004,13,25.7,334.1,NA,NA,NA
"391","PETSN01","psme",2014,13,29.6384615384615,385.3,NA,NA,NA
"392","PFEND01","quga",2003,2,60.955,121.91,NA,NA,NA
"393","PFEND01","quga",2014,4,39.55,158.2,NA,NA,NA
"394","PHILL01","arme",2014,3,7.83333333333333,23.5,1,8.2,8.2
