"","plot","year","species","uninfected_bay_ct","infected_bay_ct","tot_bay"
"131","ANN14",2004,"UMCA",0,5,5
"132","ANN14",2005,"UMCA",1,4,5
"133","ANN14",2006,"UMCA",1,5,6
"134","ANN14",2007,"UMCA",0,6,6
"135","ANN14",2008,"UMCA",0,5,5
"136","ANN14",2009,"UMCA",1,4,5
"137","ANN14",2010,"UMCA",0,5,5
"138","ANN14",2011,"UMCA",0,6,6
"139","ANN14",2012,"UMCA",0,6,6
"140","ANN14",2014,"UMCA",0,6,6
"141","ANN15",2004,"UMCA",3,13,16
"142","ANN15",2005,"UMCA",12,4,16
"143","ANN15",2006,"UMCA",0,15,16
"144","ANN15",2007,"UMCA",0,16,16
"145","ANN15",2008,"UMCA",0,16,16
"146","ANN15",2009,"UMCA",1,15,16
"147","ANN15",2010,"UMCA",0,16,16
"148","ANN15",2011,"UMCA",0,16,16
"149","ANN15",2012,"UMCA",0,16,16
"150","ANN15",2014,"UMCA",0,16,16
"151","ANN17",2004,"UMCA",3,1,4
"152","ANN17",2005,"UMCA",1,3,4
"153","ANN17",2006,"UMCA",0,4,4
"154","ANN17",2007,"UMCA",0,4,4
"155","ANN17",2008,"UMCA",0,4,4
"156","ANN17",2009,"UMCA",0,4,4
"157","ANN17",2010,"UMCA",0,4,4
"158","ANN17",2011,"UMCA",0,4,4
"159","ANN17",2012,"UMCA",0,4,4
"160","ANN17",2014,"UMCA",0,4,4
"161","ANN18",2004,"UMCA",1,2,3
"162","ANN18",2005,"UMCA",1,3,4
"163","ANN18",2006,"UMCA",0,4,4
"164","ANN18",2007,"UMCA",0,4,4
"165","ANN18",2008,"UMCA",0,4,4
"166","ANN18",2009,"UMCA",0,4,4
"167","ANN18",2010,"UMCA",0,4,4
"168","ANN18",2011,"UMCA",0,4,4
"169","ANN18",2012,"UMCA",0,5,5
"170","ANN18",2014,"UMCA",0,5,5
"171","ANN19",2004,"UMCA",0,3,3
"172","ANN19",2005,"UMCA",0,3,3
"173","ANN19",2006,"UMCA",0,3,3
"174","ANN19",2007,"UMCA",0,3,3
"175","ANN19",2008,"UMCA",0,3,3
"176","ANN19",2009,"UMCA",0,3,3
"177","ANN19",2010,"UMCA",0,3,3
"178","ANN19",2011,"UMCA",0,3,3
"179","ANN19",2012,"UMCA",0,3,3
"180","ANN19",2014,"UMCA",0,3,3
"181","ANN20",2004,"UMCA",0,1,1
"182","ANN20",2005,"UMCA",0,1,1
"183","ANN20",2006,"UMCA",0,1,1
"184","ANN20",2007,"UMCA",0,1,1
"185","ANN20",2008,"UMCA",0,1,1
"186","ANN20",2009,"UMCA",0,1,1
"187","ANN20",2010,"UMCA",0,1,1
"188","ANN20",2011,"UMCA",0,1,1
"189","ANN20",2012,"UMCA",0,1,1
"190","ANN20",2014,"UMCA",0,1,1
"191","ANN21",2004,"UMCA",0,8,8
"192","ANN21",2005,"UMCA",1,7,8
"193","ANN21",2006,"UMCA",0,8,8
"194","ANN21",2007,"UMCA",0,8,8
"195","ANN21",2008,"UMCA",0,8,8
"196","ANN21",2009,"UMCA",0,8,8
"197","ANN21",2010,"UMCA",0,8,8
"198","ANN21",2011,"UMCA",0,8,8
"199","ANN21",2012,"UMCA",0,8,8
"200","ANN21",2014,"UMCA",0,7,7
"201","ANN22",2004,"UMCA",0,12,12
"202","ANN22",2005,"UMCA",0,12,12
"203","ANN22",2006,"UMCA",0,12,12
"204","ANN22",2007,"UMCA",0,12,12
"205","ANN22",2008,"UMCA",0,12,12
"206","ANN22",2009,"UMCA",0,12,12
"207","ANN22",2010,"UMCA",0,12,12
"208","ANN22",2011,"UMCA",0,11,11
"209","ANN22",2012,"UMCA",0,11,11
"210","ANN22",2014,"UMCA",0,12,12
"211","ANN23",2007,"UMCA",0,1,1
"212","ANN23",2008,"UMCA",0,1,1
"213","ANN23",2009,"UMCA",0,1,1
"214","ANN23",2010,"UMCA",0,1,1
"215","ANN23",2011,"UMCA",0,1,1
"216","ANN23",2012,"UMCA",0,2,2
"217","ANN23",2014,"UMCA",0,2,2
"218","ANN24",2004,"UMCA",1,7,8
"219","ANN24",2005,"UMCA",2,6,8
"220","ANN24",2006,"UMCA",0,8,8
"221","ANN24",2007,"UMCA",0,8,8
"222","ANN24",2008,"UMCA",0,8,8
"223","ANN24",2009,"UMCA",1,7,8
"224","ANN24",2010,"UMCA",0,8,8
"225","ANN24",2011,"UMCA",0,8,8
"226","ANN24",2012,"UMCA",0,8,8
"227","ANN24",2014,"UMCA",1,7,8
"228","ANN25",2004,"UMCA",0,4,4
"229","ANN25",2005,"UMCA",0,4,4
"230","ANN25",2006,"UMCA",0,4,4
"231","ANN25",2007,"UMCA",0,4,4
"232","ANN25",2008,"UMCA",0,4,4
"233","ANN25",2009,"UMCA",0,4,4
"234","ANN25",2010,"UMCA",0,6,6
"235","ANN25",2011,"UMCA",0,6,6
"236","ANN25",2012,"UMCA",0,6,6
"237","ANN25",2014,"UMCA",0,6,6
"238","ANN27",2004,"UMCA",0,4,4
"239","ANN27",2005,"UMCA",1,3,4
"240","ANN27",2006,"UMCA",0,4,4
"241","ANN27",2007,"UMCA",0,4,4
"242","ANN27",2008,"UMCA",0,4,4
"243","ANN27",2009,"UMCA",0,4,4
"244","ANN27",2010,"UMCA",0,4,4
"245","ANN27",2011,"UMCA",0,4,4
"246","ANN27",2012,"UMCA",0,4,4
"247","ANN27",2014,"UMCA",0,4,4
"248","ANN29",2004,"UMCA",0,10,10
"249","ANN29",2005,"UMCA",0,10,10
"250","ANN29",2006,"UMCA",0,10,10
"251","ANN29",2007,"UMCA",0,10,10
"252","ANN29",2008,"UMCA",0,10,10
"253","ANN29",2009,"UMCA",0,10,10
"254","ANN29",2010,"UMCA",0,10,10
"255","ANN29",2011,"UMCA",0,10,10
"256","ANN29",2012,"UMCA",0,10,10
"257","ANN29",2014,"UMCA",0,9,9
"258","ANN30",2004,"UMCA",0,2,2
"259","ANN30",2005,"UMCA",1,1,2
"260","ANN30",2006,"UMCA",0,2,2
"261","ANN30",2007,"UMCA",0,5,5
"262","ANN30",2008,"UMCA",0,5,5
"263","ANN30",2009,"UMCA",0,4,4
"264","ANN30",2010,"UMCA",0,5,5
"265","ANN30",2011,"UMCA",0,5,5
"266","ANN30",2012,"UMCA",0,5,5
"267","ANN30",2014,"UMCA",0,6,6
"268","ANN31",2004,"UMCA",0,6,6
"269","ANN31",2005,"UMCA",1,5,6
"270","ANN31",2006,"UMCA",0,6,6
"271","ANN31",2007,"UMCA",1,5,6
"272","ANN31",2008,"UMCA",0,6,6
"273","ANN31",2009,"UMCA",5,1,6
"274","ANN31",2010,"UMCA",0,6,6
"275","ANN31",2011,"UMCA",0,6,6
"276","ANN31",2012,"UMCA",0,5,6
"277","ANN31",2014,"UMCA",1,5,6
"278","ANN32",2004,"UMCA",1,12,13
"279","ANN32",2005,"UMCA",1,14,15
"280","ANN32",2006,"UMCA",0,15,15
"281","ANN32",2007,"UMCA",2,13,15
"282","ANN32",2008,"UMCA",2,13,15
"283","ANN32",2009,"UMCA",2,12,14
"284","ANN32",2010,"UMCA",1,12,13
"285","ANN32",2011,"UMCA",1,12,13
"286","ANN32",2012,"UMCA",0,13,13
"287","ANN32",2014,"UMCA",0,14,14
"288","ANN33",2004,"UMCA",5,23,28
"289","ANN33",2005,"UMCA",10,22,32
"290","ANN33",2006,"UMCA",3,29,32
"291","ANN33",2007,"UMCA",3,29,32
"292","ANN33",2008,"UMCA",0,32,32
"293","ANN33",2009,"UMCA",4,27,31
"294","ANN33",2010,"UMCA",3,28,31
"295","ANN33",2011,"UMCA",1,30,31
"296","ANN33",2012,"UMCA",0,32,32
"297","ANN33",2014,"UMCA",0,29,29
"298","ANN34",2004,"UMCA",0,17,17
"299","ANN34",2005,"UMCA",0,15,15
"300","ANN34",2006,"UMCA",0,17,17
"301","ANN34",2007,"UMCA",0,17,17
"302","ANN34",2008,"UMCA",1,16,17
"303","ANN34",2009,"UMCA",0,17,17
"304","ANN34",2010,"UMCA",0,16,16
"305","ANN34",2011,"UMCA",0,17,17
"306","ANN34",2012,"UMCA",0,17,18
"307","ANN34",2014,"UMCA",0,17,17
"308","ANN35",2004,"UMCA",0,3,3
"309","ANN35",2005,"UMCA",0,3,3
"310","ANN35",2006,"UMCA",0,3,3
"311","ANN35",2007,"UMCA",0,3,3
"312","ANN35",2008,"UMCA",0,3,3
"313","ANN35",2009,"UMCA",1,2,3
"314","ANN35",2010,"UMCA",0,3,3
"315","ANN35",2011,"UMCA",0,3,3
"316","ANN35",2012,"UMCA",0,3,3
"317","ANN35",2014,"UMCA",0,3,3
"318","ANN36",2004,"UMCA",6,10,16
"319","ANN36",2005,"UMCA",6,12,18
"320","ANN36",2006,"UMCA",5,13,18
"321","ANN36",2007,"UMCA",0,18,18
"322","ANN36",2008,"UMCA",0,18,18
"323","ANN36",2009,"UMCA",2,16,18
"324","ANN36",2010,"UMCA",0,18,18
"325","ANN36",2011,"UMCA",0,18,18
"326","ANN36",2012,"UMCA",0,18,18
"327","ANN36",2014,"UMCA",0,18,18
"328","ANN37",2004,"UMCA",13,5,18
"329","ANN37",2005,"UMCA",2,25,27
"330","ANN37",2006,"UMCA",0,27,27
"331","ANN37",2007,"UMCA",0,27,27
"332","ANN37",2008,"UMCA",0,27,27
"333","ANN37",2009,"UMCA",2,25,27
"334","ANN37",2010,"UMCA",0,28,28
"335","ANN37",2011,"UMCA",0,27,27
"336","ANN37",2012,"UMCA",0,26,26
"337","ANN37",2014,"UMCA",0,28,28
"338","ANN38",2004,"UMCA",4,4,8
"339","ANN38",2005,"UMCA",4,4,8
"340","ANN38",2006,"UMCA",0,7,8
"341","ANN38",2007,"UMCA",1,7,8
"342","ANN38",2008,"UMCA",0,7,7
"343","ANN38",2009,"UMCA",6,1,7
"344","ANN38",2010,"UMCA",1,6,7
"345","ANN38",2011,"UMCA",0,7,7
"346","ANN38",2012,"UMCA",0,7,7
"347","ANN38",2014,"UMCA",0,7,7
"348","APGAR01",2004,"UMCA",5,5,10
"349","APGAR01",2005,"UMCA",5,5,10
"350","APGAR01",2006,"UMCA",3,7,10
"351","APGAR01",2007,"UMCA",0,10,10
"352","APGAR01",2008,"UMCA",0,10,10
"353","APGAR01",2009,"UMCA",0,9,9
"354","APGAR01",2010,"UMCA",0,10,10
"355","APGAR01",2011,"UMCA",0,10,10
"356","APGAR01",2012,"UMCA",0,10,10
"357","APGAR01",2014,"UMCA",0,11,11
"358","ARBIT01",2004,"UMCA",0,5,5
"359","ARBIT01",2005,"UMCA",0,5,5
"360","ARBIT01",2006,"UMCA",0,5,5
"361","ARBIT01",2007,"UMCA",0,5,5
"362","ARBIT01",2008,"UMCA",0,5,5
"363","ARBIT01",2009,"UMCA",0,5,5
"364","ARBIT01",2010,"UMCA",0,5,5
"365","ARBIT01",2011,"UMCA",0,6,6
"366","ARBIT01",2012,"UMCA",0,6,6
"367","ARBIT01",2014,"UMCA",0,6,6
"368","ARBIT02",2004,"UMCA",1,1,2
"369","ARBIT02",2005,"UMCA",1,1,2
"370","ARBIT02",2006,"UMCA",0,2,2
"371","ARBIT02",2007,"UMCA",0,2,2
"372","ARBIT02",2008,"UMCA",0,2,2
"373","ARBIT02",2009,"UMCA",0,2,2
"374","ARBIT02",2010,"UMCA",0,3,3
"375","ARBIT02",2011,"UMCA",0,3,3
"376","ARBIT02",2012,"UMCA",0,3,3
"377","ARBIT02",2014,"UMCA",0,3,3
"378","ARBIT03",2004,"UMCA",1,7,8
"379","ARBIT03",2005,"UMCA",3,5,8
"380","ARBIT03",2006,"UMCA",0,8,8
"381","ARBIT03",2007,"UMCA",1,7,8
"382","ARBIT03",2008,"UMCA",0,8,8
"383","ARBIT03",2009,"UMCA",0,9,9
"384","ARBIT03",2010,"UMCA",0,10,10
"385","ARBIT03",2011,"UMCA",1,9,10
"386","ARBIT03",2012,"UMCA",0,12,12
"387","ARBIT03",2014,"UMCA",0,12,12
"388","ARBIT04",2004,"UMCA",0,8,8
"389","ARBIT04",2005,"UMCA",0,9,9
"390","ARBIT04",2006,"UMCA",0,9,9
"391","ARBIT04",2007,"UMCA",0,9,9
"392","ARBIT04",2008,"UMCA",0,9,9
"393","ARBIT04",2009,"UMCA",0,10,10
"394","ARBIT04",2010,"UMCA",0,10,10
"395","ARBIT04",2011,"UMCA",0,12,12
"396","ARBIT04",2012,"UMCA",0,12,12
"397","ARBIT04",2014,"UMCA",0,12,12
"398","ARBIT05",2011,"UMCA",0,1,1
"399","ARBIT05",2012,"UMCA",0,1,1
"400","ARBIT05",2014,"UMCA",0,1,1
"401","ATHEA02",2004,"UMCA",1,14,15
"402","ATHEA02",2005,"UMCA",0,13,13
"403","ATHEA02",2006,"UMCA",0,15,15
"404","ATHEA02",2007,"UMCA",0,15,15
"405","ATHEA02",2008,"UMCA",0,14,14
"406","ATHEA02",2009,"UMCA",1,13,14
"407","ATHEA02",2010,"UMCA",0,14,14
"408","ATHEA02",2011,"UMCA",0,14,14
"409","ATHEA02",2012,"UMCA",0,14,14
"410","ATHEA02",2014,"UMCA",0,15,15
"411","BACKM03",2004,"UMCA",38,4,42
"412","BACKM03",2005,"UMCA",40,2,43
"413","BACKM03",2006,"UMCA",2,40,44
"414","BACKM03",2007,"UMCA",21,20,43
"415","BACKM03",2008,"UMCA",1,41,43
"416","BACKM03",2009,"UMCA",2,36,41
"417","BACKM03",2010,"UMCA",1,41,42
"418","BACKM03",2011,"UMCA",8,34,43
"419","BACKM03",2012,"UMCA",6,39,45
"420","BACKM03",2014,"UMCA",6,37,43
"421","BACKM04",2004,"UMCA",6,3,9
"422","BACKM04",2005,"UMCA",4,5,9
"423","BACKM04",2006,"UMCA",5,4,9
"424","BACKM04",2007,"UMCA",6,3,9
"425","BACKM04",2008,"UMCA",0,9,9
"426","BACKM04",2009,"UMCA",0,9,9
"427","BACKM04",2010,"UMCA",0,9,9
"428","BACKM04",2011,"UMCA",0,9,9
"429","BACKM04",2012,"UMCA",0,9,9
"430","BACKM04",2014,"UMCA",0,10,10
"431","BACKM05",2004,"UMCA",12,17,29
"432","BACKM05",2005,"UMCA",15,14,29
"433","BACKM05",2006,"UMCA",2,29,31
"434","BACKM05",2007,"UMCA",6,25,31
"435","BACKM05",2008,"UMCA",1,30,31
"436","BACKM05",2009,"UMCA",1,29,31
"437","BACKM05",2010,"UMCA",0,30,31
"438","BACKM05",2011,"UMCA",0,31,32
"439","BACKM05",2012,"UMCA",0,34,34
"440","BACKM05",2014,"UMCA",0,35,35
"441","BELTA01",2004,"UMCA",0,10,10
"442","BELTA01",2005,"UMCA",1,9,10
"443","BELTA01",2006,"UMCA",0,11,11
"444","BELTA01",2007,"UMCA",0,11,11
"445","BELTA01",2008,"UMCA",0,11,11
"446","BELTA01",2009,"UMCA",1,10,11
"447","BELTA01",2010,"UMCA",0,11,11
"448","BELTA01",2011,"UMCA",0,12,12
"449","BELTA01",2012,"UMCA",0,12,12
"450","BELTA01",2014,"UMCA",0,12,12
"451","BELTA02",2004,"UMCA",0,1,1
"452","BELTA02",2005,"UMCA",0,1,1
"453","BELTA02",2006,"UMCA",0,1,1
"454","BELTA02",2007,"UMCA",0,1,1
"455","BELTA02",2008,"UMCA",0,1,1
"456","BELTA02",2009,"UMCA",0,1,1
"457","BELTA02",2010,"UMCA",0,1,1
"458","BELTA02",2011,"UMCA",0,1,1
"459","BELTA02",2012,"UMCA",0,1,1
"460","BELTA02",2014,"UMCA",0,1,1
"461","BELTA03",2004,"UMCA",0,5,5
"462","BELTA03",2005,"UMCA",0,5,5
"463","BELTA03",2006,"UMCA",0,5,5
"464","BELTA03",2007,"UMCA",0,5,5
"465","BELTA03",2008,"UMCA",0,5,5
"466","BELTA03",2009,"UMCA",0,5,5
"467","BELTA03",2010,"UMCA",0,5,5
"468","BELTA03",2011,"UMCA",0,5,5
"469","BELTA03",2012,"UMCA",0,5,5
"470","BELTA03",2014,"UMCA",0,5,5
"471","BELTA04",2004,"UMCA",0,15,15
"472","BELTA04",2005,"UMCA",0,15,15
"473","BELTA04",2006,"UMCA",0,15,15
"474","BELTA04",2007,"UMCA",0,15,15
"475","BELTA04",2008,"UMCA",0,15,15
"476","BELTA04",2009,"UMCA",0,15,15
"477","BELTA04",2010,"UMCA",0,14,14
"478","BELTA04",2011,"UMCA",0,15,15
"479","BELTA04",2012,"UMCA",0,18,18
"480","BELTA04",2014,"UMCA",1,17,18
"481","BELTA08",2004,"UMCA",0,30,30
"482","BELTA08",2005,"UMCA",0,30,30
"483","BELTA08",2006,"UMCA",0,31,31
"484","BELTA08",2007,"UMCA",0,30,30
"485","BELTA08",2008,"UMCA",0,25,25
"486","BELTA08",2009,"UMCA",0,30,30
"487","BELTA08",2010,"UMCA",0,30,30
"488","BELTA08",2011,"UMCA",0,29,29
"489","BELTA08",2012,"UMCA",0,30,30
"490","BELTA08",2014,"UMCA",1,29,30
"491","BERGE01",2004,"UMCA",18,35,53
"492","BERGE01",2005,"UMCA",11,42,53
"493","BERGE01",2006,"UMCA",8,45,53
"494","BERGE01",2007,"UMCA",3,50,53
"495","BERGE01",2008,"UMCA",0,50,51
"496","BERGE01",2009,"UMCA",0,49,50
"497","BERGE01",2010,"UMCA",2,49,51
"498","BERGE01",2011,"UMCA",1,50,51
"499","BERGE01",2012,"UMCA",0,50,50
"500","BERGE01",2014,"UMCA",3,46,49
"501","BOUV01",2004,"UMCA",1,2,3
"502","BOUV01",2005,"UMCA",4,0,4
"503","BOUV01",2006,"UMCA",2,2,4
"504","BOUV01",2007,"UMCA",0,4,4
"505","BOUV01",2008,"UMCA",0,4,4
"506","BOUV01",2009,"UMCA",1,3,4
"507","BOUV01",2010,"UMCA",0,4,4
"508","BOUV01",2011,"UMCA",0,4,4
"509","BOUV01",2012,"UMCA",0,4,4
"510","BOUV01",2014,"UMCA",0,4,4
"511","BOUV02",2004,"UMCA",4,35,39
"512","BOUV02",2005,"UMCA",27,17,44
"513","BOUV02",2006,"UMCA",1,43,44
"514","BOUV02",2007,"UMCA",0,43,43
"515","BOUV02",2008,"UMCA",3,39,42
"516","BOUV02",2009,"UMCA",5,38,43
"517","BOUV02",2010,"UMCA",1,39,40
"518","BOUV02",2011,"UMCA",1,45,46
"519","BOUV02",2012,"UMCA",4,41,45
"520","BOUV02",2014,"UMCA",2,45,47
"521","BOUV03",2004,"UMCA",5,8,13
"522","BOUV03",2005,"UMCA",12,5,17
"523","BOUV03",2006,"UMCA",12,6,18
"524","BOUV03",2007,"UMCA",0,18,18
"525","BOUV03",2008,"UMCA",0,18,18
"526","BOUV03",2009,"UMCA",2,16,18
"527","BOUV03",2010,"UMCA",0,18,18
"528","BOUV03",2011,"UMCA",0,18,18
"529","BOUV03",2012,"UMCA",0,18,18
"530","BOUV03",2014,"UMCA",0,18,18
"531","BOUV09",2003,"UMCA",2,15,17
"532","BOUV09",2004,"UMCA",12,11,23
"533","BOUV09",2005,"UMCA",5,33,38
"534","BOUV09",2006,"UMCA",1,41,42
"535","BOUV09",2007,"UMCA",1,40,41
"536","BOUV09",2008,"UMCA",3,39,42
"537","BOUV09",2009,"UMCA",4,29,33
"538","BOUV09",2010,"UMCA",0,37,37
"539","BOUV09",2011,"UMCA",0,39,39
"540","BOUV09",2012,"UMCA",0,39,39
"541","BOUV09",2014,"UMCA",0,44,44
"542","BOWES01",2004,"UMCA",0,10,10
"543","BOWES01",2005,"UMCA",0,10,10
"544","BOWES01",2006,"UMCA",0,10,10
"545","BOWES01",2007,"UMCA",0,10,10
"546","BOWES01",2008,"UMCA",0,10,10
"547","BOWES01",2009,"UMCA",0,10,10
"548","BOWES01",2010,"UMCA",0,10,10
"549","BOWES01",2011,"UMCA",0,10,10
"550","BOWES01",2012,"UMCA",0,10,10
"551","BOWES01",2014,"UMCA",0,10,10
"552","BOWES02",2004,"UMCA",0,14,14
"553","BOWES02",2005,"UMCA",1,13,14
"554","BOWES02",2006,"UMCA",0,14,14
"555","BOWES02",2007,"UMCA",0,14,14
"556","BOWES02",2008,"UMCA",0,14,14
"557","BOWES02",2009,"UMCA",1,13,14
"558","BOWES02",2010,"UMCA",0,14,14
"559","BOWES02",2011,"UMCA",0,14,14
"560","BOWES02",2012,"UMCA",0,14,14
"561","BOWES02",2014,"UMCA",0,13,13
"562","BOWES03",2004,"UMCA",0,5,5
"563","BOWES03",2005,"UMCA",0,5,5
"564","BOWES03",2006,"UMCA",0,4,5
"565","BOWES03",2007,"UMCA",0,4,4
"566","BOWES03",2008,"UMCA",0,4,4
"567","BOWES03",2009,"UMCA",0,4,4
"568","BOWES03",2010,"UMCA",0,4,4
"569","BOWES03",2011,"UMCA",0,4,4
"570","BOWES03",2012,"UMCA",0,4,4
"571","BOWES03",2014,"UMCA",0,6,6
"572","BUSH01",2004,"UMCA",0,3,3
"573","BUSH01",2005,"UMCA",0,3,3
"574","COCHR01",2004,"UMCA",6,2,8
"575","COCHR01",2005,"UMCA",8,0,8
"576","COCHR01",2006,"UMCA",8,0,8
"577","COCHR01",2007,"UMCA",6,2,8
"578","COCHR01",2008,"UMCA",0,7,7
"579","COCHR01",2009,"UMCA",0,7,7
"580","COCHR01",2010,"UMCA",0,8,8
"581","COCHR01",2011,"UMCA",0,9,9
"582","COCHR01",2012,"UMCA",0,9,9
"583","COCHR01",2014,"UMCA",0,9,9
"584","COOK01",2004,"UMCA",1,2,3
"585","COOK01",2005,"UMCA",0,4,4
"586","COOK01",2006,"UMCA",0,5,5
"587","COOK01",2007,"UMCA",0,5,5
"588","COOK01",2008,"UMCA",0,5,5
"589","COOK01",2009,"UMCA",0,5,5
"590","COOK01",2010,"UMCA",0,5,5
"591","COOK01",2011,"UMCA",0,5,5
"592","COOK01",2012,"UMCA",0,5,5
"593","COOK01",2014,"UMCA",0,5,5
