"","PlotID","acma","aeca","arcto","arme","cebe","hear","pisa","prunus","psme","qudo","quga","qulo","qusp","sese","todi","unk1"
"25","ANN30",NA,NA,NA,3,NA,1,NA,NA,2,NA,2,NA,NA,NA,NA,NA
"26","ANN31",NA,NA,NA,2,NA,1,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
"27","ANN32",NA,NA,NA,2,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
"28","ANN33",NA,NA,NA,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"29","ANN34",NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
"30","ANN35",NA,NA,NA,4,NA,NA,NA,NA,9,NA,1,NA,NA,NA,NA,NA
"31","ANN36",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","ANN37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"33","ANN38",NA,NA,NA,NA,NA,4,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
"34","APGAR01",NA,NA,17,6,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
"35","ARBIT01",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA
"36","ARBIT02",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","ARBIT03",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,NA,NA,NA,NA,NA
"38","ARBIT04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"39","ARBIT05",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"40","ATHEA02",NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"41","BACKM02",NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","BACKM03",1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"43","BACKM04",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"44","BACKM05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"45","BADGE01",NA,NA,3,NA,NA,NA,1,NA,NA,NA,31,NA,NA,NA,NA,NA
"46","BELTA02",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"47","BELTA03",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,12,NA,NA,NA,NA,NA
"48","BELTA04",NA,NA,NA,5,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
"49","BELTA07",NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"50","BELTA08",NA,NA,NA,1,NA,NA,NA,NA,6,NA,1,NA,NA,NA,NA,NA
"51","BERGE01",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
"52","BOUV01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"53","BOUV02",NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"54","BOUV03",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"55","BOUV09",NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"56","BOWES01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"57","BOWES02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"58","BOWES03",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","COOK02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA
"60","DOMAN01",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
"61","ELIOT01",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"62","FERRA01",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"63","FOP04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"64","FOP324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"65","FOP340",NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
"66","FRIDE01",NA,NA,NA,1,NA,NA,NA,NA,1,NA,6,NA,NA,NA,NA,NA
"67","GANAY01",NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
"68","GANAY02",NA,NA,NA,19,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"69","GARD01",NA,NA,NA,11,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"70","HALLO01",NA,NA,NA,25,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
"71","HALOW02",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","HOOD01",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"73","HOOD02",NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"74","HOOD04",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","HOOD07",NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
"76","JLSP01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"77","JLSP02",NA,NA,NA,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"78","JLSP03",NA,NA,NA,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"79","JLSP04",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA
"80","JLSP08",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","JLSP10",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA
"82","JLSP13",NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"83","JLSP14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
"84","JLSP15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
