tag,dbh12
4110,14
4112,6.2
4114,13.3
4109,11.7
4108,20
4106,9.4
4105,7.5
4111,6.6
4107,4
4113,13
648,37.6
604,23.5
586,28.6
687,19.7
656,26.5
6722,32.3
649,34.2
4074,21.3
4068,19.5
4082,6.5
4079,12.2
4078,14.9
1237,12.4
4077,14.1
4080,16.4
4075,17.2
4071,8.3
4073,17.3
4072,10.8
4070,6.5
4069,33.8
4076,20.6
6032,5.5
6029,13.4
6004,13.7
6033,14.5
4787,7.8
4812,2.3
6009,11.3
6021,9.2
6013,15
6034,2.3
6005,12.1
6039,15.3
6040,12
6037,10.3
6010,7
6028,8.6
6002,11.5
6038,11.2
6007,8.8
6018,9.2
6008,12
6006,11.7
6019,12.1
6026,3.5
6001,13.9
4101,26.3
4103,29.4
4102,27
4100,6.2
4099,6.8
4098,-9999
4096,6.6
675,4.4
627,5.1
583,4.3
4085,11.9
4886,1.8
4088,9.9
4089,18.6
4090,21.5
4091,10.9
4092,2.8
4889,2.1
4093,4.3
4095,14.5
4084,3.2
4887,2.1
1909,3.2
6041,1.9
1910,2.6
4083,3.8
4094,9.3
600,8.1
374,7.8
1934,4.3
613,3.7
236,5.4
271,5.3
589,5.9
516,8.8
547,4
664,7.7
247,11.7
248,7.8
605,4.3
4028,6.8
504,20.5
533,15.9
5633,3
639,5.5
562,8.3
4025,2.4
4026,4.6
4893,2.2
542,3.3
667,2.4
692,22.4
668,37.5
654,23.1
685,7.3
4808,5
681,15.1
682,2
4167,14.7
571,4.2
689,3.1
5674,2.1
4163,3.6
4162,44.4
4161,34.4
4160,40
4159,25.6
697,22
695,33.5
4166,17.8
4164,16
4165,14.8
688,16.4
666,15.1
690,18.1
658,13.1
5673,2.4
661,11.4
659,19.5
570,2.2
620,2.7
696,3.6
5675,2.5
650,17.2
355,7.2
4055,15.9
4054,15
357,13.9
349,8
368,27.2
7535,19
385,13.9
384,12.7
4597,11.4
400,9.7
387,8.4
371,8.8
351,5
337,11.2
4727,17
394,8.8
336,11.7
383,7.1
353,10
386,16.1
382,10.5
6106,-9999
381,13.5
396,12.3
373,8.6
344,17.5
375,10.6
388,6.5
399,13.4
350,23.3
338,18.4
390,16.9
378,13.9
358,11.8
380,9.7
348,14
4012,6.3
4011,8.9
4010,7.6
4009,5.5
4004,4.3
4002,6.3
4001,6.5
4014,3.6
4003,4.6
4013,7.3
4015,9
4016,9.8
4017,3
4018,16.7
4019,3.7
4005,8.8
4020,4.4
4894,9.3
515,16.8
671,34.5
4033,39.1
631,22.8
610,12.3
2653,20.7
2652,21.8
619,21.8
593,29
544,8.3
594,7.4
511,4.7
572,15.3
576,19.5
672,7.5
625,39
629,19.8
4035,21.1
4034,37.5
634,26
2654,12.2
557,8.1
673,55.4
596,38.6
686,20.6
233,24.9
340,9.3
4052,2.9
4053,5.1
255,13.2
339,12.7
343,6.1
361,8.8
1907,5
239,19
362,7.9
360,16.3
190,26.1
356,13.6
397,18.7
377,28.7
256,7.9
370,4.2
369,8.4
241,5
2592,4.7
4123,5.6
221,10.6
585,16.3
4140,24.7
5266,8.6
5654,18.2
5653,15.5
4126,10.4
4124,5.9
4120,16.1
4121,19.4
4116,12.1
398,26.1
4118,11.5
4125,12.3
4138,8.1
4135,6.4
4134,5.4
4134,5.4
4133,3.4
4132,13.8
4131,3.8
4130,10.7
4129,17.2
4128,15.4
4127,16.8
670,11
4139,11.8
372,11.7
588,5
4136,4.1
513,16.7
506,6.5
345,-9999
238,19.7
365,9
363,17.9
5632,3
225,7.4
508,19
636,7.8
540,9.4
253,11.6
4119,14.9
532,8.8
684,5.9
628,10.9
4117,11.9
505,19
367,16.7
4039,3
4036,13
4038,8
4040,6.6
6060,6.8
4037,14
4050,8.4
4046,8.7
4043,10.7
4042,14.2
4044,6.6
4045,16.7
4047,12.9
4051,15.6
4048,13.6
4049,14.4
4150,13.7
4151,8.5
4719,13
6047b,12.2
4156,8.2
4155,6.3
4154,15.2
4148,14.1
4152,5.3
1223,12.2
4149,19.8
4146,11.8
4153,3.8
4141,10.8
4144,11.9
4143,15.9
4142,25.8
4145,10.3
3227,3.5
3226,10.3
1838,6.1
3367,7.3
976b,14.4
974b,16.9
6121,12
906b,16.4
7540,5.3
969,9.5
3368,5
939,3.6
3365,6.1
3364,5.5
3363,4.5
851,4.6
895,11
3369,6.1
965,6.8
992,12
995,5.4
973,7.7
866,5.1
820,5.2
907,3.2
913,2.9
990,5.1
936,9.2
902,4
988,6.3
991,4.8
825,6.3
821,4.2
968,6.7
813,8
842,6.3
6103,4.3
978,6.5
943,32.4
999,24
4832,6.7
962,6.3
920,9.6
4831,9.7
4617,15.1
4606,25
4620,9.1
4619,21.3
4618,16.1
4609,21.6
4601,20.1
4603,16.3
4604,14.8
4605,9.3
1450,18
4607,21.5
4608,26.1
416c,11.1
4610,13.4
401c,22.7
4611,15.6
1451,11
4612,6.3
4613,11
4614,7.7
4615,14.2
4616,21.8
6704,2.7
4452,5.7
1997,3.7
2000,3.7
4449,25.2
6942,3.3
4475,3.8
4447,9.6
4451,4.6
6941,13.7
4446,13.5
4473,19.1
329,8.4
6944,2.8
6943,6.9
4448,16.1
4450,4.7
4986,39.6
4988,38
4987,39.8
4985,47.7
4989,27.6
414c,24.8
4982,38.6
404b,6.7
4981,30.1
4980,6.3
4978,30.7
1994,34.9
4979,54.8
6349,3.5
4236,9.3
334,14.8
319,20.6
2704,11.1
4244,9.1
2708,7.7
5271,6.7
4243,5.2
4242,8.5
4241,6.5
2713,8
2712,14.3
2711,4.6
2710,5.8
4240,6.8
2709,3
2707,10.6
2706,8.6
4238,3.1
2705,8.6
323,10.4
335,9.6
