"plotid","H.2005","D.2005","inv.D.2005","J.2005","H.2014","D.2014","inv.D.2014","J.2014","os_rich05","os_rich14","us_rich05","us_rich11","us.H.2005","us.D.2005","us.inv.D.2005","us.J.2005","us.E.2005","us.E.inv.2005","us.H.2011","us.D.2011","us.inv.D.2011","us.J.2011","us.E.2011","us.E.inv.2011"
"bowes03",1.17099712611621,0.642857142857143,2.8,0.72758142272491,0.950270539233235,0.56,2.27272727272727,0.685475297227334,4,3,9,10,1.60848009854995,0.760680529300567,4.17851500789889,0.69855403105144,0.0845200588111741,0.464279445322099,1.8047712132159,0.803550295857988,5.09036144578313,0.752648055021066,0.0803550295857988,0.509036144578313
"cochr01",0.691416077617118,0.498269896193772,1.99310344827586,0.629354035767567,0.691416077617118,0.498269896193772,1.99310344827586,0.629354035767567,2,2,4,4,1.00271826451752,0.518518518518519,2.07692307692308,0.623023887265718,0.12962962962963,0.519230769230769,0.935893169357435,0.506245890861275,2.02529960053262,0.58150312113749,0.126561472715319,0.506324900133156
"cook01",0.462036909466457,0.287334593572779,1.40318302387268,0.420564119145802,0.462036909466457,0.287334593572779,1.40318302387268,0.420564119145802,2,2,3,3,0.830471712436292,0.5,2,0.599058710565202,0.166666666666667,0.666666666666667,0.836774226381862,0.533057851239669,2.14159292035398,0.603605013372406,0.177685950413223,0.713864306784661
"cook02",0,0,1,0,0.369333121645653,0.213039485766759,1.27071178529755,0.336181495014415,1,2,6,5,1.70270675839356,0.802644628099174,5.06700167504188,0.875018180680222,0.133774104683196,0.844500279173646,1.48699570033744,0.753864447086801,4.06280193236715,0.829908101994341,0.15077288941736,0.81256038647343
"doman01",0.982900727715156,0.594104308390023,2.46368715083799,0.709013002780405,1.10427837149656,0.612654320987654,2.58167330677291,0.686126729689408,3,4,8,13,1.7293332269016,0.782668365846486,4.60126296797474,0.787053469517505,0.0978335457308107,0.575157870996843,2.15618254284507,0.861556387260787,7.22315735781688,0.817027549439184,0.0662735682508297,0.555627489062837
"eliot01",0.974314752869349,0.59375,2.46153846153846,0.702819531114783,1.21488965394912,0.666666666666667,3,0.754853383633626,3,4,12,11,2.1320697082156,0.855662246608749,6.92819429778247,0.831232672104548,0.0713051872173957,0.577349524815206,2.07594309716985,0.853361094586556,6.81947261663286,0.835420959313284,0.0775782813260505,0.619952056057533
"ferra01",0.725381173814492,0.332342449464923,1.49777382012467,0.404842941406086,0.431071102348777,0.210059171597633,1.26591760299625,0.31095207081456,5,3,9,9,1.90568421548192,0.825670498084291,5.73626373626374,0.827628139033926,0.0917411664538101,0.637362637362637,1.78673045752611,0.804546328335256,5.11630194246373,0.775967178352061,0.0893940364816951,0.568477993607081
"fop04",0.376770161256437,0.21875,1.28,0.342950980198128,0.376770161256437,0.21875,1.28,0.342950980198128,2,2,4,5,1.07354284640852,0.5625,2.28571428571429,0.667029674220179,0.140625,0.571428571428571,1.23310862126464,0.63125,2.71186440677966,0.688211025219755,0.12625,0.542372881355932
"fop324",0.431071102348777,0.210059171597633,1.26591760299625,0.31095207081456,0.367649477400142,0.169421487603306,1.20398009950249,0.265203038915302,3,3,6,8,1.37413483409071,0.684027777777778,3.16483516483517,0.706165613431749,0.11400462962963,0.527472527472527,1.15325718371708,0.544667590027701,2.19619771863118,0.524869963504239,0.0680834487534626,0.274524714828897
"fop333",0.425328293373262,0.257116620752984,1.34610630407911,0.38715049682259,0.458144179061526,0.284081632653061,1.39680729760547,0.41702080323255,2,2,4,3,0.89037846997622,0.477317554240631,1.91320754716981,0.553223248375962,0.119329388560158,0.478301886792453,0.70291893077351,0.3984375,1.66233766233766,0.507048827786958,0.1328125,0.554112554112554
"fop340",0.691416077617118,0.498269896193772,1.99310344827586,0.629354035767567,0.691761498852418,0.498614958448754,1.99447513812155,0.629668451725647,2,2,3,4,0.315396287422662,0.139917695473251,1.16267942583732,0.227510329889732,0.046639231824417,0.38755980861244,0.978034301257913,0.574539120336769,2.35039235755715,0.607686878569141,0.143634780084192,0.587598089389287
"fride01",0.921493430867962,0.5390625,2.16949152542373,0.664717001462483,1.32960076786058,0.692520775623269,3.25225225225225,0.742064317613688,3,5,7,7,1.3483378948993,0.654572940287226,2.89496717724289,0.648413464804627,0.0935104200410323,0.413566739606127,1.26794241803904,0.646627218934911,2.82987273945077,0.609751412879228,0.0923753169907016,0.404267534207253
"ganay01",0.450561208866305,0.277777777777778,1.38461538461538,0.410118486306518,0.881532261188164,0.5546875,2.24561403508772,0.635891110799899,2,3,8,7,1.530160906615,0.708208616780045,3.4271059993783,0.696406240125929,0.0885260770975057,0.428388249922288,1.54322543184296,0.74322448681423,3.89445234708393,0.742134559164523,0.106174926687747,0.556350335297704
"ganay02",1.29212473981033,0.702702702702703,3.36363636363636,0.802842240652908,1.20498976890723,0.65875,2.93040293040293,0.748702239208973,4,4,6,6,1.62592870804154,0.782006920415225,4.58730158730159,0.835562067873937,0.130334486735871,0.764550264550265,1.6515085979094,0.790123456790123,4.76470588235294,0.84870753087503,0.131687242798354,0.794117647058823
"gard01",1.40679920501606,0.694320987654321,3.27140549273021,0.722951779504836,1.26109766020713,0.65375,2.88808664259928,0.703832005280514,6,5,8,7,1.65609860604967,0.766614302301755,4.28475270705297,0.753722957194216,0.0958267877877194,0.535594088381621,1.48247239363474,0.738920394875026,3.83024939662108,0.712918523517208,0.105560056410718,0.547178485231583
"hallo01",1.37543105874245,0.684898929845422,3.17358490566038,0.767642689972795,1.26864416016829,0.6624,2.96208530805687,0.708043787102107,5,5,12,9,2.00482024073823,0.826953266513706,5.77878576413119,0.781621763761585,0.0689127722094755,0.481565480344266,1.75080787843209,0.793832199546485,4.85041794984602,0.760366200475798,0.0882035777273872,0.538935327760669
"halow02",0.846365829626287,0.525951557093426,2.10948905109489,0.610523892589859,0.729871209983116,0.417777777777778,1.7175572519084,0.526490787565135,3,3,5,6,1.24685351620282,0.641868512110727,2.79227053140097,0.695882197145583,0.128373702422145,0.558454106280193,1.20585710342835,0.572066326530612,2.33681073025335,0.61968796658662,0.0953443877551021,0.389468455042226
"hood01",0.354598827552649,0.164359861591696,1.19668737060041,0.255788985007624,0.110453046672598,0.0454299621416983,1.04759206798867,0.100538695781844,3,2,7,8,1.61870183961116,0.749614197530864,3.99383667180277,0.778431038894956,0.107087742504409,0.570548095971825,1.6786084839447,0.761184625078765,4.18733509234829,0.763967644117535,0.0951480781348456,0.523416886543536
"hood02",0.432303211035612,0.2001953125,1.25030525030525,0.268605087338722,0.397117270660597,0.17687074829932,1.21487603305785,0.246742833378394,4,4,7,9,1.57435667331684,0.749702734839477,3.99524940617577,0.757105521728216,0.107100390691354,0.570749915167967,1.61817964623038,0.734774846260663,3.77038145100972,0.702766491086009,0.0816416495845181,0.418931272334414
"hood03",1.37911205209963,0.67265306122449,3.05486284289277,0.708723397516144,1.51066989352459,0.74293228139382,3.89002557544757,0.776330754150174,6,6,7,8,1.39595571641626,0.653190646056282,2.88342857142857,0.671312796458114,0.0933129494366117,0.411918367346939,1.42224974810676,0.664973838104032,2.98484152503445,0.647293755393456,0.083121729763004,0.373105190629306
